全场最高能：83:38	不给你永封不错了

其他高能：
 1:21 - 2:52	早[比心]	(比心,早,])
 162:07 - 162:34	冰说是[傲娇]	(是,真帅,路边)
 169:49 - 170:00	刚出几天	(还有,几天,刚出)
 175:18 - 176:16	这作大死了也能抓	(绳,通讯,连接)
 183:04 - 183:13	主播买成四百[花]	(买成,清洁工,四百)
 184:23 - 187:01	4个人对战，可以恶意组队	(对战,走马灯,组队)
 189:02 - 189:18		(捂脸,早,说)




 190:25 - 190:52	妖精的	(妖精,大战,英法)
 192:36 - 194:15	我用的男主，看女主方便	(๑,男主,好看)
 194:19 - 200:59	这男的长在我xp上	(的,我,这)
 203:24 - 203:35	幼教孙	(幼教,孙)
 204:05 - 204:45	那暗袭要害为什么不叫暗袭G点	(跑马灯,区别,和)
 226:06 - 227:07	别人跳起来了，你怎么打	(跳,虐,三杀)
 229:13 - 232:33	真爱上了[哇]	(了,，,一码)
 236:26 - 237:25	孙孙，你外卖到了[妙]	(外卖,了,你)
 238:01 - 238:52	那咋了[花]	(厕所,干嘛,下)
 239:27 - 240:29	要是之前的神奇宝贝游戏就把你车轮战了	(车轮战,了,对抗)
 241:24 - 241:31		()
 244:29 - 247:32	开会儿牛车放松一下吧，哦对了，如果饿了的话记得多吃几个蓝龟[比心]	(],[,了)
 251:04 - 253:28	要不牛车吧 感觉主播要撑不住了	(了,感觉,又臭又长)
 253:38 - 254:12	构思剧情	(构思,剧情)
 255:42 - 259:21	我全程看下来的都不知道他在说什么[花]	(了,表达,])
 261:45 - 263:08	蓝之圆盘好歹都没这么多的重复建筑	(圆盘,蓝,之)
 263:31 - 264:29	我刚刚刮绒毛的时候，刀不小心竖起来了，然后差点割到脂肪层[大哭]	(大哭,],[)
 271:38 - 272:57	我就玩过阿尔宙斯，请问有其他代的宝可梦好玩吗	(哈哈哈,，,的)
 273:40 - 273:59		()
 275:22 - 276:20	这作打完短时间内不会碰宝可梦了	(],[,dog)
 277:04 - 277:34	神人GF	(跨栏,禁止,神人)
 277:52 - 278:06	三百六十五里路哟~	(一侧,三百六十五,里路)
 280:13 - 281:14	主播怎么改半夜清理垃圾了	(半夜,？,哈哈哈)




 281:19 - 281:50	又得重新上一遍	(啦,又,！)
 282:27 - 282:56	这可比马造折磨的多了	(清澈,眼神,可比)
 286:01 - 287:12	怎么说呢打法有点像魔兽世界，T和DPS是宝可梦，主播是奶[dog]	(，,说,是)
 287:18 - 288:04	主播不给大菊花学魔法闪耀，喜欢魅惑[花]	(花,肉盾,主播)
 288:16 - 288:36	主播的大菊花真的能魅惑到人吗[妙]	(],[,魅惑)
 294:34 - 297:52	刚看了，还真有拈连修辞手法，第一次知道这个，看孙老师直播真能学到东西呀[赞]	(],[,，)
 300:09 - 300:55	主播大概率是玩不了二周目了	(智者,二周目,是)
 304:14 - 304:26	HOW	(HOW)
 304:39 - 304:46	噢，大围脖	(围脖,噢,大)
 308:46 - 308:53		()
 309:03 - 311:09	我风冷猴不服	(了,，,风冷)
 312:02 - 312:50	怎么还打工了	(了,还,？)
 313:26 - 313:37	走马灯	(走马灯)
 321:00 - 322:25	你这是怀孕了	(了,哈哈哈,*)
 322:32 - 324:48	我看着这满屏幕的叹号我就好烦，都快密恐了	(，,的,比心)
 331:07 - 331:41	又上一次厕所	(在,45,海报)
 335:13 - 335:16		()
 337:05 - 339:04	不喜欢吗	(了,生气,哇)
 344:25 - 344:34		()
 345:17 - 346:04	可以换另一只mega的	(呆,思维,另一只)
 346:35 - 346:47	这鸟跟你遭老罪了	(老罪,遭,这鸟)
 353:06 - 356:38	感觉用低级球浪费的时候都够捡几百个蘑菇买高级球了	(球,了,，)
 359:04 - 361:03	早发在哔哩你切割了啊[妙]	(你,！,哔哩)
 365:30 - 366:12	烈箭鹰速度高啊	(速度,高,烈箭鹰)




 370:19 - 371:41	npc：你养了一堆什么辣鸡	(你,哈哈,了)
 377:06 - 378:34	上次就是这么打的，不能变[dog]	(，,dog,龙)
 382:30 - 384:56	师傅你是做什么工作的	(换家店,颜色,能换)
 386:17 - 386:56	不是，那你不穿露大腿的，你换袜子也看不见啊	(你,丹瑜,箍)
 387:12 - 387:25	想白袜了是吧	(想白袜,穿白袜,fayday)
 387:52 - 388:17	你不把这裤子换了，出门腰上还是带着个地雷	(腰上,地雷,出门)
 388:47 - 388:58	旋转下	(旋转,妙不可言,下)
 392:00 - 393:35	主播在玩奇迹暖暖ns2版	(暖,在,玩)
 400:33 - 400:51	裤衩	(长袜,裤衩,搭配)
 401:29 - 402:37	有个收集花呗呗增加发色的任务	(呗,黄毛,暖)
 403:11 - 405:17	主播这人物是妙子吗[哇]	(],[,腰包)
 408:43 - 409:26	主播，我的午休就半个小时	(你,半个,午休)
 412:57 - 413:00	ztmex	(ztmex)
 414:23 - 414:30	刚刚那不是裙子吗	(吗,休息,老师)
 414:42 - 414:54		()
 414:59 - 416:39	主播想了半天决定不把钱留着娶老婆了 现在已经画了15w了	(了,这,大妈)
 422:05 - 422:48	还好这是游戏币不是花呗	(游戏币,还好,这是)
 427:24 - 428:27	主播这么肯花钱在装扮上，现实穿搭肯定很帅吧[哇]	(],[,哇)
 428:30 - 430:31	人家都叫裙裤了	(裙裤,叫,粑)
 430:46 - 430:49		()
 435:12 - 439:18	也就买了个鼓[哇]	(],[,花)
 443:42 - 444:15	这也是游戏流程的一环吗[花]	(这,脚丫子,一环)
 444:54 - 445:04		()




 445:58 - 446:23		(经典,单,马尾)
 452:42 - 453:34	短发可以	(短发,可以,好)
 454:09 - 454:16		()
 455:56 - 459:03	还了20W花呗	(],[,花)
 463:27 - 463:38		()
 472:15 - 474:57	播一周直播间倒闭了[哇]	(],[,哇)
 478:24 - 479:20	金色对话也不对话一下	(对话,金色,NPC)
 481:33 - 481:50		()
 483:22 - 484:19	就是你是S级，要战胜B级的	(级,就是,战胜)
 493:20 - 493:25		()
 493:42 - 495:57	主播和我一样高[花]	(主播,高,])
 496:27 - 498:17	这个也是B级	(级,，,也)
 499:48 - 501:40	你和npc对话一下吧求你了	(你,,,npc)
 502:12 - 503:12	打二十个是2.5倍	(和,倍,2.5)
 513:31 - 516:57	我刚才打一晚上拿了6万	(⌒,了,钵)
 517:48 - 518:52	看三个小时了，感觉这剧情没动多少[花]	(这,动,肤色)
 527:07 - 528:54	你的宝可梦是被阉割了吗	(打人,的,宝可梦)
 531:36 - 531:43		()
 532:28 - 535:01	讓你去收集100個細胞，加油	(細胞,你,？)
 535:15 - 535:20		(捡,会,去)
 535:38 - 536:50	不亏，暖暖了一小时[花]	(暖,😋,不亏)
 540:15 - 540:59		()
 543:21 - 545:49	不是白送了粉色的 闪光吗	(闪光,了,不是)
 546:59 - 547:02		()
 547:18 - 548:57	四倍弱冰	(-,400,完)
 549:31 - 552:06	还不如过分了吧	(过分,不如,玩)
 553:50 - 554:47	只有一个图所以他不加交通工具了是吧	(他,不加,ip)




 559:31 - 561:11	主播怎么老用最便宜的球，我要是宝可梦我也跑	(跑,的,都)
 563:12 - 563:23	抽象海星	(抽象,海星)
 565:04 - 566:04	卧槽[手机]	(欧巴,长腿,杀人)
 569:17 - 569:47	寻他	(镜头,拉,真的)
 578:29 - 579:27	不八可能一千	(喝点,孙孙别,不八)
 585:10 - 585:51		()
 587:59 - 588:20		()
 588:31 - 589:03	地图不够大没办法，可以理解	(办法,理解,不够)
 589:59 - 591:46	主力都带马嘎石了道具有啥用[委屈]	(战术,具有,道)
 596:52 - 599:12	那咋了	(咋,那,吧)
 599:49 - 601:32	自己鸟都不认识了	(鸟,一半,在)
 602:04 - 604:32	鸟辛辛苦苦挖半天矿分币没有你还认错了	(补,吃,你)
 608:41 - 611:02	我每次收了就放出来另一个	(孙子,就,我)
 613:04 - 613:28		(五年,前,？)
 613:47 - 614:04	我想知道怎么搞的这么乌烟瘴气的	(信条,刺客,乌烟瘴气)
 614:43 - 619:41	999满了	(你,999,了)
 622:55 - 624:30	并不会解气[哇]	(奶奶,喝,🍼)
 631:54 - 632:38	走了走了	(哈哈哈,走,点到为止)
 633:12 - 634:16	主播现在浪费了两天生命和400块[哇]	(浪费,了,开洞)
 637:29 - 637:36		()
 637:45 - 638:28	比利禁言是永久的（	(？,禁言,比利)
 638:42 - 639:11	这地洞你打他才知道吧	(地洞,才,知道)
 640:00 - 640:22		()
 640:31 - 641:04	没了	(走,了,凭)
 641:14 - 641:47	主播别气，你气死了我看什么	(别气,你,气死)




 643:15 - 644:39	最后祝你尸体被钢，再见	(喂,薄荷,大胆)
 651:05 - 651:18		()
 651:27 - 651:39		()
 654:32 - 654:39	什么安定区	(安定区,什么)
 656:08 - 656:47	封条贴招牌上	(招牌,贴,封条)
 660:28 - 661:56	就是劲大了点	(就是,橱柜,银)
 663:01 - 663:50	狗哥咬他[哇]	(玩游戏,系,咬)
 670:07 - 670:40	耐播王	(溜达,耐播,王)
 670:59 - 671:17		()
 671:21 - 671:31		()
 671:55 - 675:05	这个屋是资料室吧，三打玛琪艾尔的地方	(帕鲁,神兽,？)
 678:40 - 682:41	都是za没特性主播的大戾士被砍了让你睡到天亮	(你,主播,吵醒)
 686:38 - 687:30	这东西捕获率和神兽差不多	(纯熟,白干,迷宫)
 689:22 - 691:11	这种迷宫对你的挑战性都这么大吗	(的,吗,人尽皆知)
 693:50 - 694:24	居然是的地下	(滴,卡,地下)
 695:36 - 696:49	主播困了就睡	(啊,了,睡)
 696:55 - 697:15		()
 697:43 - 697:56	洗白了	(别怕,者,洗白)
 702:43 - 705:16	因为牛车就不存在[哇]	(牛车,，,没有)
 715:50 - 717:23	饼饼早上好[比心]	(],[,比心)
 723:22 - 723:31	天亮了	(小柏,好大,天亮)
 725:04 - 725:20		()
 725:48 - 726:36	早被遗忘了	(差不所,遗忘,挡路)
 728:09 - 728:27		()
 729:06 - 729:56	孙想赶紧吃完	(孙想,孙不困,几点)
 730:22 - 730:53	是的	(是,的)
 731:32 - 733:04	可以和yb罐头一争高下	(罐头,比马大,骆驼)




 733:41 - 735:04	暴鲤龙怎么是蓝的，我看别人暴鲤龙都是红的，请问主播的这个是闪光暴鲤龙吗	(暴鲤龙,的,是)
 735:29 - 735:58	说话已经有气无力了	(有气无力,说话,已经)
 737:12 - 737:26		()
 738:56 - 740:56	现实里这么打早引发火灾或者塌了	(偷袭,了,多)
 741:10 - 742:20	你可不能熬死了 不然主播就给别人还花呗买dr了	(了,dr,还花)
 745:14 - 745:15		()
 746:38 - 752:36	是的，十二月快到了，我们得集资给主播过个生日	(的,了,，)
 759:13 - 761:30	好[哇]	(喷,],[)
 763:40 - 764:00	#直播时长	(时,#,长)
 764:39 - 766:00	你有鼓舞宝可梦的力量（你作弊)	(作弊,不好,zaka)
 766:59 - 767:08	11个小时	(11,妈,小时)
 767:27 - 772:17	其实黑悟空的时候播了40多个小时来着	(了,，,的)
 774:33 - 775:38	等下，什么东西进来了[dog]	(，,大力,鳄)
 776:29 - 777:33	今天主播又过生日了吗	(吗,睡觉,主播)
 778:08 - 779:18	还在用哑剧推进剧情的仅此一家了	(黑人,呗,就是)
 780:01 - 782:57	你认错主播了	(了,是,主播)
 788:53 - 789:21	那咋了	(咋,不困,那)
 790:07 - 790:16		()
 791:27 - 791:30		()
 793:45 - 793:51		()
 793:58 - 794:32	胖哥把你寻了	(哈哈哈,你,废话)
 795:46 - 797:25	纯纯技不如人	(技不如人,了,胖哥)
 800:16 - 800:31	唐突爬楼	(全队,爬楼,唐突)
 802:55 - 803:39	能的	(能,靠边站,世界末日)
 807:21 - 807:25		()




 808:32 - 810:44	太牛了，你是熬夜冠军	(你,了,是)
 811:00 - 812:04	不用吃药，躲开就完事了	(躲开,正版,的)
 813:19 - 818:16	让你差不多的了	(哈哈哈,哈哈哈哈,了)
 818:17 - 819:52	因为你技不如人	(，,这,了)
 822:06 - 822:59	卖电脑都要开播了孙子还在	(Mega,野怪,的)
 825:24 - 825:35		()
 826:58 - 827:44	为什么你的通关队伍这么拉呢	(使劲,刮,为什么)
 830:16 - 830:21	排核废水了	(打射,废水,排核)
 842:51 - 844:11	宝石复刻裂空座吃了陨石才超进化的	(空座,裂,也)
 845:28 - 845:43	给核弹炸成烟花了说是	(烟花,是,给)
 846:09 - 852:48	这制作人员走马灯了	(，,主播,了)
 853:00 - 853:40	az这就似了	(了,惠普,惠)
 853:45 - 854:07	这游戏真的走马灯，3个人围殴你一个	(狙,你,年)
 858:21 - 858:25	没跳过说明他很满意这个作品	(作品,满意,说明)
 858:44 - 858:55	这俩人好像是一对	(一对,这俩,黑妹)
 872:53 - 873:09	有的人晚上上班，所以白天才能保健	(晚上,保健,上班)
 873:18 - 874:11	这个坟圈子全是逛不完了	(白白的,？,贡品)
 880:41 - 882:19	唉，你已经是优质粉丝了，我们的世界不一样了	(粉丝,了,，)
 882:27 - 882:51	他和一个日本人谈恋爱来着	(他,有用吗,找人拔)
 883:35 - 884:01		()
 895:31 - 897:38	主播我去看卖电脑了，你赶紧下吧[dog]	(了,吧,？)
 898:41 - 901:31	闪了说是	(了,闪光,，)
 902:58 - 903:25	用的纪念球	(纪念,球,这)




 917:14 - 918:47	超级小桀，江湖人称桀哥，你去找他就说你来卖电脑来了（黑话），然后是林克叫你过去的	(，,球,电脑)
 919:26 - 919:55	主播并没有被搞黄	(并,黄,搞)
 920:33 - 922:51	十万一杯的咖啡，够还半年花呗了	(，,一杯,了)
 924:09 - 927:36	当年小杰帮主播把花呗还了主播才帮小杰说话的	(了,发,主播)
 929:34 - 929:49	大戾士	(士,大戾,還沒猝)
 929:54 - 929:58		()
 930:03 - 930:07		(给,送分,每天晚上)
 937:12 - 937:25		(买杯,咖啡吧,主播)
 939:44 - 940:01	你可以买个石头进化海星星	(技術,顶上,方尖碑)
 940:46 - 941:25	松饼如果你在播就蹲一下	(在,蹲,如果)
 943:49 - 944:58	好x2	(哭,好,笑)
 951:43 - 952:26	你把这东西干掉呗	(比心,],[)
 955:25 - 955:56	播这么久[哇]	(该,播,哇)
 956:15 - 957:05	当然是上天啊	(啊,不,快來)
 959:14 - 959:18		()
 960:11 - 960:23		()
 961:05 - 963:00	喜欢主播可以走马灯卖电脑支持直播哦[哇]开通直播间搞黄可以进胖哥群[比心]	(算,的,娃)
 963:18 - 965:08	大嘴娃也是钢系的	(？,],[)
 968:24 - 969:10	主播在浪费了两天的人生后，决定熬夜继续浪费人生	(人生,抓,浪费)
 977:05 - 977:36	破游戏攀爬翻越都做了就是没有跳	(都,翻越,下班)
 979:20 - 980:08	火狐狸和鸟在屋顶	(饼,在,屋顶)
 981:15 - 981:55	老班糊涂	(么,最白,被名)
 982:22 - 982:36	15个小时了	(15,小时,个)




 983:00 - 984:17	喜欢主播可以走马灯卖电脑支持主播哦[哇]开通直播间搞黄可以进胖哥群[比心]	(楼,的,主播)
 991:06 - 992:49	是孙还在	(？,孙怎早,在)
 993:25 - 995:19	主播您能别搞笑了没	(哈哈哈,没,走马灯)
 995:27 - 998:42	这队伍是996药罐子队[花]	(],[,可以)
 999:50 - 1001:47	可惜没回头	(哈哈哈哈,哈哈哈,])
 1005:23 - 1006:10	孙孙不倒闭，这游戏就不会倒闭[傲娇]	(倒闭,],[)
 1006:20 - 1007:42	喜欢主播可以走马灯卖电脑支持主播哦[哇]开通直播间搞黄可以进胖哥群[比心]袋龙这么容易	(主播,可以,我)
 1007:52 - 1007:55		(套,补水,意思)
 1008:05 - 1008:08		()
 1008:38 - 1015:21	喜欢主播可以走马灯卖电脑支持主播哦[哇]开通直播间搞黄可以进胖哥群[比心]	(主播,],[)
 1015:51 - 1015:56		()
 1020:39 - 1020:52	响应主播前几天金河田金河田的那么叫[哇]	(金河田,响应,几天)
 1026:01 - 1027:06	错肯定是有的，但我感觉节奏是在人设上，本来就不是什么大事，后面小桀错误应对	(干死,节奏,被)
 1029:55 - 1029:59		()
 1030:10 - 1030:15		()
 1048:02 - 1048:55	就剩个企鹅了	(企鹅,],[)
 1054:52 - 1055:07	抓兔子吗	(兔子,抓,吗)
 1055:34 - 1056:17	喜欢主播可以走马灯卖电脑支持主播哦[哇]开通直播间搞黄可以进胖哥群[比心]	(。,可以,走马灯)
 1060:13 - 1062:19	刷三百场的金币就够抓了	(],[,休息)
 1062:28 - 1063:09	操作变形了[花]	(吧,前来,研究)
 1065:05 - 1065:30	耐播王	(大部分,就行,出去)




 1067:19 - 1067:59	厕所群在哪，我想进厕所	(厕所,群在,这么久)

