全场最高能：264:40	你看见他喷金蘑菇的时候就该用大蘑菇就过了[花]

其他高能：
 3:00 - 3:19	孙怎晚	(明白,78,开局)
 317:33 - 317:51	特别 道具都比金币好	(金币,特别,比)
 318:04 - 318:30		(的,，,几小时)
 318:51 - 320:25	孙体健康[比心]加纳	(],[,爱心)
 326:29 - 326:44	HOW	(HOW)
 331:54 - 334:48	比方不合理啊实践和文字描述能一样么你都玩了	(能,50,你)
 338:02 - 339:22	这游戏要是没有闪光系统，估计游戏时长能缩短99%	(99%,了,游戏)
 341:28 - 342:15	为什么还有个饱腹度设定	(饱腹,tm,设定)
 343:47 - 344:57	是不是等了很久终于等到这一天，把这只宝可梦展示出来	(妙不可言,555,这)
 347:32 - 350:16	主播怎麼都不喜歡[委屈]	(大哭,],[)
 350:22 - 350:41	被嫌弃	(不发,嫌弃,妙妙)
 351:22 - 353:11	波尔凯尼恩 4剑客 胡帕 玛夏多 美录坦 美录梅塔	(希斯,代欧奇,梅塔)
 363:36 - 364:02	牛6不开是啥意思啊主播	(啥意思,不开,6)
 364:51 - 365:20		()
 365:25 - 366:13	不是头目力的也要吗	(要,什么,作用)




 366:57 - 366:58		()
 367:05 - 368:13	金河田不都有了	(都,不,娃)
 369:34 - 369:42		()
 372:00 - 373:01	主播能借我8000买个机器和马车吗，我是人脉	(我,人脉,买个)
 373:19 - 373:25		()
 373:38 - 375:24	这是在switch上玩的还是投屏玩的	(的,玩,是)
 375:39 - 376:04		()
 380:13 - 380:16		()
 382:34 - 384:06	有的是为了大后期出的有的只为了给入坑出的	(的,刷新,为了)
 388:08 - 388:11		()
 389:17 - 391:00	SL一下 把保底的闪光刷成头目了再抓	(闪光,战迷,多任务)
 395:50 - 396:06		()
 421:58 - 423:13	这跑步姿势好奇怪	(姿势,跑步,奇怪)
 429:45 - 432:35	孙子早，又来ZA上班了	(蓝紫色,上班,干什么)
 434:16 - 436:52	刷直播时长呢	(直播,刷,时刷)
 439:00 - 440:10		(咖朝,毙,乐)
 442:40 - 444:12	小箭雀也是	(丢,小箭雀,一箱)
 445:02 - 446:27	孙子又在刷什么闪	(孙子,闪,又)
 447:35 - 447:45		()
 447:55 - 451:08	我依稀记得3d龙闪光是个蓝色的来着[dog]	(之一,三级,500)
 451:13 - 452:50	看见围栏里的球了么	(接着,觉醒,围栏)
 452:58 - 456:22	那咋了	(],[,那)
 458:27 - 459:24	正常像你这么刷都得闪好几只	(这么,你,好几只)
 463:13 - 464:17	好多多边兽	(在,兽,多边)
 469:13 - 470:01	你不吃甜甜圈卡路里哪来的	(锅,哪来,卡路里)
 470:42 - 472:37	你和他换呗	(呗,哦,和)
 475:29 - 475:36		()




 476:05 - 477:31	哇哦	(梦,哦,哇)
 477:50 - 477:55		()
 478:01 - 479:37	不是，还播呢	(了,闪来闪去,不动产)
 482:59 - 484:18	给主播毛了 那主播可能就直接直播间倒闭了	(了,圆滑,原味)
 486:13 - 486:32	橘色的烤鸭	(橘色,帅,葱油饼)
 490:17 - 494:25	只能说对任天堂的垃圾翻译雪上加霜了	(技能,三重,机)
 496:49 - 497:29	换闪光的给他[dog]	(换,闪光,他)
 498:40 - 500:25	9代就是核心标配了  一般系还要额外加	(就是,debuff,几率)
 505:46 - 506:07	被优化了[看]	(石么,优化,mega)
 508:26 - 508:36	主播又在熬松饼	(熬,又,松饼)
 510:00 - 510:35	简单无脑建议玩粗骨头哥拉哥拉	(哥拉哥,无脑,粗)
 510:58 - 512:21	梦里说找我要个精灵球，我说没有za	(za,说,我)
 514:52 - 515:52	@(•ૢ⚈͒⌄⚈͒•ૢ) 宝可梦za	(͒,⚈,ૢ)
 517:41 - 519:04	鸭子强度还行阿   特攻高得很	(鸭子,mega,厉害)
 521:46 - 523:37	这对战太抽象了	(饼,，,还)
 523:43 - 524:29	传说老臣一刀秒了	(老臣,一刀,传说)
 529:29 - 530:19	他带气势腰带了ya	(提示,ya,腰带)
 530:51 - 531:24		()
 539:51 - 543:05	一下50吧  没55那么高  算上本系确实吃不消	(],[,50)
 543:44 - 544:48	[捂脸]	(纹理,打击面,追)
 548:25 - 549:41	主包还没下吗果然，比起马里奥更喜欢宝可梦呢[妙][妙][妙]	(妙,],[)
 550:19 - 550:55		()
 551:03 - 553:58	牛车第一给什么	(！,第一,])




 558:16 - 558:58	这是n2的游戏吗	(游戏,n2,这是)
 561:42 - 562:20	好用	(好用,挂机,喜欢)
 562:41 - 563:28		()
 563:58 - 564:16		()
 564:45 - 567:27	主播要是把花在宝可梦的一半精力玩走马造，早8000了	(宝批,了,金河田)
 572:38 - 572:54		()
 577:06 - 577:18	孙孙又在宝可梦哦 休息一下好不好	(好不好,休息,孙孙)
 577:22 - 577:36		()
 577:41 - 580:46	主播司马鱼和米粒龙闪了没	(],[,支持)
 584:06 - 585:04	不贪在哪	(贪,不,几个)
 585:46 - 586:55	宝宝暴龙 冰雪幼龙 化石飞龙 主播要3种闪	(种闪,飞龙,幼龙)
 588:21 - 588:40	那是主播 贪的跟孙子似的	(似的,贪,跟)
 589:54 - 591:22	那咋了	(宠,冷门,目的)
 597:42 - 599:42	乐[花]	(吨,大量,耗费)
 602:50 - 603:48	@起司 早[看]	(球,姐早,起司)
 611:07 - 611:31	金球是不是没拿啊	(金球,拿,是不是)
 614:26 - 621:43	王致和腐乳	(了,],[)
 625:29 - 626:49	主播家里有根水管专门流豆汁儿的[哇]	(家里,豆汁,主播)
 629:58 - 632:12	从晚上播到天亮[看]并非阳间	(刚播,阳间,播到)
 634:52 - 635:07	胖哥也走马灯吗	(走马灯,也,胖哥)
 635:21 - 635:35		(收工,那,就)
 635:45 - 635:53		()
 637:52 - 638:23	主播的葱油饼抓到了吗	(瞅,抓到,葱油饼)
 638:56 - 640:21	那太悲伤了   没办法喝纸杯鸭汤	(鸭,没,是)
 640:55 - 643:47	你身上都有 为什么它硬要写未发现	(越,浪费,果子)




 648:09 - 649:13	给他＋草熟悉，8倍弱冰	(冰,弱,倍)
 651:44 - 651:49		()
 653:15 - 654:30	吧主甲	(爱心,],[)
 659:43 - 660:35	关键是这配色闪了也不好看这万针鱼和迦勒尔呆河马	(河马,呆,这万针)
 665:23 - 668:14	大葱鸭还有不同的眼神吗	(鸭,的,葱)
 670:50 - 672:56	他都喷火了，还能不是火吗	(吗,的,还)
 680:40 - 681:00		()
 682:39 - 683:44	你不是之前說沒時間za嗎	(說,？,沒)
 688:43 - 690:59	勾帕路翁是那个鹿	(是,双攻,圣剑)
 695:31 - 696:33	在冰上折返跑	(折返跑,雅閣,来回)
 699:09 - 700:40	还在	(还,在,？)
 702:31 - 705:44	吃完了我美味的5237，主播居然还在	(5237,格斗,喵)
 706:29 - 707:14		(什麼,飛行,能)
 710:22 - 710:56		()
 711:16 - 714:05	不是3不要，3保底的那一个都够刷的时间了	(3,，,闪)
 714:12 - 716:24	倒閉了	(留,了,哇)
 721:18 - 721:26	lv2	(lv2)
 721:39 - 721:44		()
 734:14 - 735:49	所以又开始刷地图了吗	(刷,早上,难道)
 737:34 - 739:55	11个半小时的孙现在是	(？,孙,了)
 740:12 - 741:11	最近za玩的時間比馬造和牛車加一起還長	(還長,牛車加,比馬造)
 742:02 - 743:05	用这个去4星 打饿了么出个15没留果没问题	(没留果,15,打饿)
 743:13 - 745:15	一觉醒来我就知道还是那么爱ZA[哇]	(@,李卜卜,legacy)
 745:37 - 745:47		()
 745:58 - 747:40	不是吧 那今晚我看啥	(啥,吧,当阿尔)




 747:57 - 748:42	你得抓流氓鳄	(鳄,流氓,抓)
 750:21 - 750:39		()
 751:49 - 753:50	超梦被幽灵打傻了	(大哭,黑黑的,胖胖)
 754:30 - 754:51		()
 755:20 - 758:49	啊还在播吗	(闪,啊,吗)
 759:00 - 759:57	普通闪真跟野狗一样 我遇到普通龙头直接打死	(龙头,普通,逃过一劫)
 761:44 - 761:57		(？)
 767:56 - 771:41	松饼只是号在这，人已经不知道哪儿去了	(了,？,你)
 777:38 - 777:42	@泡泡茶壶 ns2	(ns2,茶壶,泡泡)
 779:08 - 782:16	什么鬼 松饼和小恹也跟着通宵了吗 宝可梦是有什么活动吗	(],[,感谢)
 784:15 - 785:49	@クリーム松饼 作为洗干净管理，你应该冒死劝诫，告诉主播通宵容易养胃	(管理,干净,洗)
 788:05 - 789:11	我还记得，曾经，珍钻复刻，主播信誓旦旦说这是自己最后玩宝可梦	(，,是,玩宝)
 793:47 - 795:19	这是在熬鹰还是在熬饼	(在,熬,续航)
 795:29 - 795:36	猫猫也来了	(猫猫,来,也)
 797:04 - 797:58	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(可以,主播,进胖哥)
 799:04 - 799:14	小小戾	(小小,戾)
 801:13 - 804:03	喜欢主播可以走马灯卖电脑未成年退款来雅阁主播哦[哇]直播间搞黄可以进胖哥群[比心]	(直播,],[)
 807:02 - 807:19		()
 810:01 - 813:19	主播本人还没有睡醒，这是录播	(这是,孙子,说话)
 813:46 - 816:37	其实是宏手柄在播 主播已经加纳了	(刷,],[)
 817:25 - 818:20	这要是有个密勒顿骑着跑的就快多了	(跑,的,？)




 827:02 - 828:30	整个游戏相当于主播十年的运动量[花]	(马拉松,游戏,寄)
 832:14 - 832:55	孙怎早	(DLC,肝,孙怎早)
 834:04 - 835:06	孙怎在	(呢,执着,为何)
 835:08 - 835:23		(俺娘,咧,咋)
 837:09 - 838:18	像胖哥一样多积德一趟就出了	(。,是,一趟)
 838:39 - 838:45		()
 840:17 - 841:24	闪光母怪力抚摸自己的大岩蛇对你使用挖洞	(母,怪力,闪光)
 844:29 - 844:52	竟然还没闪	(深蓝色,竟然,666)
 845:27 - 845:47	那你就抓啊	(抓,那,就)
 846:04 - 847:05	13h[dog]孙孙日子不过了	(睡,？,真能)
 849:53 - 852:52	刚刚和家人看演唱会，结果我看了三分钟发现了是ai生成的	(了,],[)
 854:33 - 855:31	还是头目	(头目,好,会播)
 856:48 - 857:06	人家都是刷羊的过程歪一堆路卡，你怎么还要专门刷路卡	(路卡,刷,过程)
 860:55 - 860:59		()
 861:12 - 861:27	還不睡	(還不睡,？)
 864:45 - 868:03	主播主播你这喷火龙是不是挂啊，怎么是黑的呢	(？,啊,捂脸)
 868:43 - 868:51	孬飞	(孬飞)
 871:14 - 872:27	伽勒尔喵喵居然是格斗系的吗	(还播,今晚,喵)
 872:47 - 874:23	建議主播早點下，凌晨2點出閃概率高	(喵,母,怪力)
 880:03 - 880:21	主播通宵是因为上帝想看马灯了	(上帝,是因为,通宵)
 881:01 - 881:14	刷闪吧	(闪,刷,吧)
 881:23 - 881:40		(睡,呢,没)
 886:31 - 886:58	这是孙先生(低功耗版)	(版,低功耗,孙先生)
 887:18 - 887:25	刷闪链接大脑 跑路代替思考	(思考,代替,大脑)




 888:53 - 889:16		()
 896:34 - 897:28	加纳了	(加纳,],[)
 899:08 - 900:33	我艹，还在，你疯了	(加纳,白白,我)

