全场最高能：60:43	我高中自己攒钱买的ns课间玩被没收了[看]

其他高能：
 7:38 - 9:28	主播就像生气后的小女友，嘴上说的不要，其实心里惦记着[大哭][大哭][大哭]	(大哭,说,女友)
 122:08 - 123:00	教程写着呢 向上箭头越多捕获率越高	(箭头,着,，)
 133:25 - 133:33	到时候好像好几个人都要来	(好几个,到时候,要)
 133:46 - 135:39	刚才查了一下，先机球抓急急龙如果不是背袭也就7%概率捕捉，背袭是27%	(背袭,，,时候)
 135:54 - 138:05	这是阿尔宙斯就有的技能阿	(帧,20%,还)
 139:19 - 140:30	只是你眉笔罢了[dog]	(],[,可能)
 142:24 - 143:19	能玩但是能玩到什么样得看你机器	(玩,能,什么样)




 148:01 - 148:41	[dog]究极手一开，视角一转，自动体验	(，,体验,一转)
 149:09 - 150:19	我开车不晕，什么时候来重庆坐[看]	(，,不晕,开车)
 150:40 - 150:51		(，,数低,精度)
 150:59 - 151:10		()
 152:19 - 153:00	哥 第一次玩宝可梦系列推荐哪一部	(下载,哪一部,推荐)
 153:22 - 153:23		()
 153:49 - 154:43	我光看你玩我就已经觉得我在坐牢了[妙]	(坐牢,觉得,玩)
 154:56 - 159:35	你打的是mega阿  那就是格斗岩阿	(格斗,mega,的)
 159:58 - 160:14		()
 162:13 - 162:47	人吃完技能了	(完,石,没换)
 169:21 - 170:06	唉，这作为什么没有藤藤蛇	(，,降,电话)
 170:15 - 170:50	打坑极其离谱	(速通,离谱,极其)
 171:36 - 171:48		()
 172:09 - 172:16	海南也有巫蛊之术吗	(之术,蛊,巫)
 172:28 - 172:34		()
 176:15 - 176:31		()
 176:48 - 176:59		()
 182:24 - 183:34	有的时候你把宝可梦收回来他就没有仇恨了	(你,橘子,来)
 184:21 - 187:36	@小坏 宝可梦za	(你,炸酱面,])
 192:37 - 195:03	其实可以把大师球扔地上然后让捡球小哥保管感觉[看]	(了,大师,把)
 199:58 - 200:03	资料片 超次元爆涌	(爆涌,元,超次)
 200:24 - 201:18	听说嘎啦嘎啦打排位不错 带个粗骨头	(嘎啦,比心,])
 201:22 - 201:33		(嘎啦,谣言,头骨)
 202:34 - 202:58	永远闪歪	(歪,永远,走马灯)
 210:37 - 211:20	饼[哇]	(比心,],[)
 212:54 - 214:19	感觉dlc太折磨了	(折磨,都,播宝)




 216:04 - 218:31	没 我备份从进了第一次上电梯前保存了	(刷,三剑客,比主播)
 223:16 - 223:36	爱牛干的	(炸,的,爱牛)
 223:41 - 225:18	@クリーム松饼 你看马上中午了吧，我都办完事回来了	(中午,，,了)
 225:45 - 226:20	出了几个闪了	(了,几个,出)
 226:43 - 230:05	这游戏卡很便宜新的才240	(便宜,是,都)
 230:28 - 231:10	但是不好玩	(喷,问题,不好玩)
 233:12 - 234:18	卖电源可以吗	(？,黑,吗)
 235:05 - 236:42	所有闪光都先默认绿的	(ai,概率,绿)
 241:29 - 241:53	食用色素	(成绿,设计,色素)
 242:00 - 242:10		()
 244:12 - 245:26	你的闪符是挺假的 前段时间闪光跟不要钱一样	(的,白马,是)
 246:36 - 247:33	你床上那个打脸也是他的收藏品吗	(你,的,我)
 250:30 - 250:45	肉夹馍好吃	(肉夹馍,老想,好吃)
 253:22 - 253:26	老公什么时候再上雅阁	(老公,雅阁,上)
 253:32 - 254:33	那闪了你别抓	(抓,那闪,？)
 258:14 - 261:19	你猜胖丁是什么颜色的	(播,的,？)
 266:30 - 268:00	地+龙	(纯地,地,地龙)
 270:02 - 270:53	主播你能一直吹吗，你一停下就尿不出来了[流泪]	(尿,你,停下)
 271:22 - 271:30		()
 277:14 - 279:08	等一个出闪了没来得及抓就被踢出去	(么,的,厉害)
 282:53 - 283:18	不如5237	(闪,财灵,有索)
 283:47 - 283:51		()
 284:13 - 284:28	加纳[哇]	(加纳,哇,])
 285:16 - 285:48	taxi了	(taxi,蒙,委屈)
 286:23 - 287:21	最后亿次	(海南,，,三亚)




 293:01 - 293:33	尸体健康	(健康,],[)
 300:54 - 302:29	打开一看达克莱伊闪了	(莱伊,达克,了)
 304:51 - 305:29	最后亿把	(出门,亿把,最后)
 305:40 - 306:38	闪小的你还能不抓似的	(还,似的,闪小)
 309:42 - 311:20	刚来就加纳	(加纳,✈,️)

