全场最高能：38:46	蒙的：ZTMEX

其他高能：
 2:41 - 4:12	@远方 我刚想回你老公就开了[dog]	(],[,比心)
 131:17 - 131:47	蒙的	(奔,的,蒙)
 136:58 - 137:16	就是考了研也没看成绩天天直播赚钱去见木柜子啊	(爱,大体,太稳)
 138:46 - 139:07	信仰吧	(蒙,的,树)
 152:23 - 152:34	一直耗	(标准,人性,耗)
 152:50 - 152:56	好人啊还给汤	(巩固,标准,结局)
 158:26 - 159:10	路易急死了	(💗,。,么)
 162:55 - 163:22	巩固是不是满减的关键词[dog]	(好巩,！,第一)
 168:17 - 168:30	再给自己个机会	(再,差点,遥遥领先)
 169:11 - 172:22	给你玩人机图还玩上瘾了	(图,了,])
 172:33 - 173:58	7000匹配的都是极难图，估计没人比得过主播	(哈哈哈,士,大戾)




 180:16 - 181:42	气死了	(气死,;,哈哈哈)
 182:16 - 183:43	好图	(哈哈哈,士,大戾)
 186:58 - 189:15	嗨在巩固我是没想到的	(],[,喷喷)
 214:51 - 215:47	喷2偶尔还能排到人吧，但这个点大概率是没人	(点大,没人,概率)
 223:06 - 224:08	L键中间那个，给别人游玩记录点赞	(给,别人,想)
 229:50 - 237:18	主播我的金河田电脑可以玩这个游戏吗	(了,游戏,主播)
 237:39 - 238:26	又要看木柜子留言是吗	(又,衣柜,醒悟)
 238:44 - 239:10	评价：去以六月息	(息,以,六月)
 239:15 - 245:58	你已经不是当年那个 勾引木鬼子的少年了	(],[,爱)
 250:16 - 251:07	这游戏有辅助瞄准吗	(瞄准,辅助,换)
 254:39 - 256:54	这玩意mega了提升也不大啊	(你,mega,下一代)
 261:18 - 261:49	@小恹 买啊[dog]	(买,],[)
 266:03 - 266:09	冰壶河田	(冰壶,河田)
 267:00 - 267:45	笑死我了	(^,死,了)
 269:04 - 271:31	主播主播这次我是对面滚筒可以夸夸我吗[爱][爱][爱][爱]	(],[,爱)
 277:26 - 277:54	它们悲哀，你三金都输，不就是悲中悲	(悲哀,悲中悲,三金)
 278:07 - 278:33	这把表现能用到上把就好了	(捂脸,把,])
 288:27 - 289:11	我不玩这游戏[花]	(不,大概,大师)
 292:21 - 293:02		()
 294:41 - 295:00	那我就不知道了	(那,就,不)
 295:47 - 297:05	胖哥早赢了	(五,了,赢)
 297:29 - 297:50	这喷射战士喷出的不是油漆，是主播的血压	(的,油漆,喷出)
 301:10 - 301:16		()
 304:10 - 304:43	悲哀啊	(LOSE,悲哀,啊)




 311:14 - 312:59	[爱][爱][爱][爱]	(],[,爱)
 314:03 - 315:54	主播你的病毒传染了[哇]	(哇,你,逗逗)
 338:10 - 339:16	臭臭的香槟呀	(起来,哇,槟)
 340:36 - 341:14	值原磊	(！,救世主,test9)
 341:33 - 345:07	绝望地像无能的丈夫[哇][哇]	(哇,],[)
 345:16 - 346:00	香香的臭槟	(纯,香香的,elo)
 346:08 - 346:21	打几把吗，那确实很好玩了[爱]	(几把,好玩,确实)
 346:32 - 346:38	fff	(fff)
 346:48 - 346:58		()
 348:09 - 348:12		()
 348:28 - 349:13	主播开了一个晚上香香的臭槟	(下午,太晚,睡)
 351:02 - 352:24	有机会[爱]	(机会,香槟,有)
 354:47 - 355:21	7连败罢了不值一提	(其他,不值一提,罢了)
 361:27 - 362:06	系统正在计算这把要给你匹配什么样的队友	(计算,正在,什么样)
 366:39 - 369:49	输掉了[爱]	(],[,了)
 373:33 - 378:34	这不是直播间文化了吗[哇]	(河田,],[)
 380:11 - 381:07	有个人掉线这局都算取消的时间内就结束了	(输,后腿,掉线)
 385:10 - 385:58	更新了	(爱,…,])
 386:26 - 386:57	队友完蛋辣	(辣,完蛋,队友)
 387:08 - 387:09		()
 387:57 - 394:12	樱花妹也会借花呗和啊啊啊啊啊吗	(啊啊啊,],[)
 394:51 - 397:50	笑死我了[dog]	(—,了,爱)
 404:01 - 404:48	悲哀啊	(悲哀,了,不)
 411:56 - 414:45	主播：我很早就不叫那个名字了   那都是过去的事，	(爱,],[)




 417:54 - 418:47	龙星群一晚上没miss几回刚刚翻盘的局非得miss[dog]	(miss,非得,走)
 423:54 - 424:50	游戏王是谁，是美神吗，主播居然要成为他的男人[哇]	(男人,游戏王,成为)
 425:10 - 425:31	悲哀了吗	(悲哀,了,哇)
 427:33 - 427:54	这么牛[大哭]	(该,1904,最高)
 428:16 - 428:30	干什么不好 跟孙子学巩固	(大哭,],[)
 429:44 - 429:55	樱花妹太坑了	(妹太坑,非常,樱花)
 430:13 - 430:16		(🍾)
 433:36 - 433:59	队友也没特别坑 只是被对面展示韧性了	(拖后腿,韧性,坑)
 437:36 - 440:19	三旋击打中2下主播都死了这个	(🍾,？,凭)
 457:28 - 459:42	我遇到的怎么都是结实	(结实,都,])
 463:35 - 464:20	关了吧没意思	(miss,吧,晴天霹雳)
 466:48 - 468:07	怎么会有狠辣椒这种东西[dog]	(辣椒,狠,他)
 470:13 - 470:29		()
 471:24 - 472:14	羽栖真强[哇]	(],[,赢)
 483:03 - 487:04	准确的说确实是剩多少反多少	(多少,反,的)
 490:31 - 490:37	对面好像也不打算开墙l	(l,开墙,打算)
 490:45 - 491:08	影子球赛她嘴里	(嘴里,球赛,暗影)
 491:50 - 492:48	打个屁的死   冰抵抗冰  大雪天打死是吧	(冰,吧,你)
 495:26 - 495:38		()
 496:01 - 504:09	@有故事的鑫哥 我去 和雅阁开不会阴气凉凉吗[dog]	(],[,dog)
 505:13 - 505:32	@有故事的鑫哥 你不应该问主播吗[dog]	(问主播,应该,哥)
 506:31 - 507:56	喷火龙是之前的快龙改模型吗	(喷火龙,因为,mega)
 513:08 - 513:15		()




 513:23 - 513:52	孙倒霉[哇][哇]	(哇,人,])
 514:42 - 514:45		()
 521:52 - 522:55	加纳了	(加纳,。,了)
 526:02 - 526:24	首先火系也免疫烧伤	(↓,↑,嗯)
 526:34 - 526:44		(乐,？,dog)
 528:42 - 530:07	加纳[比心]	(],[,再见)

