全场最高能：169:44	雅阁了

其他高能：
 0:46 - 1:33	主播能再啵一吗	(啵,再,吗)
 348:21 - 348:43	害人终害己	(终害己,害人,走马灯)
 350:13 - 352:10	丢人主播	(丢人,的,不如)
 356:38 - 356:40		()
 359:15 - 359:25		()
 361:30 - 363:39	该x27	(！,惠普,你)
 363:53 - 363:58		(牛车,倒闭,了)




 364:14 - 364:42	没狙到，给我安排到下一把进这房了[委屈]	(你,这房,安排)
 372:31 - 373:54	你干嘛呢，你明明可以用羽毛躲蓝龟	(躲,羽毛,])
 374:02 - 374:06	左边有黄杆可以羽毛飞出去呐[花]	(飞出去,黄杆,左边)
 375:00 - 376:05	给555打退游了	(ˋ,ˉ,ˇ)
 376:34 - 377:06	该	(该)
 377:38 - 378:19	9000 遥遥无期	(人化开,ya,打打)
 386:47 - 388:28	是没睡还是早起[妙]	(！,666,哇)
 388:45 - 390:23	倒闭了	(倒闭,了,…)
 397:10 - 401:29	加纳 ×16	(啊啊啊,加纳,])
 401:59 - 402:34	555也被这孙子骗回宝可梦了[傲娇]	(骗回,宝可梦,傲娇)
 403:05 - 403:06		(錢,測試,掛機)
 403:14 - 403:30	[花]	(所愿,得偿,])
 406:10 - 406:26	上次不是有人说了可以提前下去开车吗	(下去,提前,刹车)
 408:01 - 410:10	bot偷吃蓝龟[哇]	(！,该,蓝龟)

