全场最高能：229:51	好结局

其他高能：
 5:00 - 5:34	选左边和右边那不是马灯的直播间吗	(左边,的,这)
 278:18 - 278:25	鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿	(鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿鈿,蒙,的)
 280:36 - 281:42	遥遥领先了	(8888,666,！)
 282:21 - 283:59	你还比赛上了	(美食,什么,？)
 291:04 - 294:04	主播能三连登吗，登了我去胖哥那给你惹事[哇]	(！,妈妈,是)
 301:16 - 303:14	就是yoshi和555马上超车   你说谁打的	(打,了,你)
 307:21 - 307:43		()
 312:48 - 314:10	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(咋,那,了)
 318:24 - 319:41	蒙的	(P,的,蒙)
 323:53 - 328:25	别人爆料了你没爆	(了,哈哈哈,你)
 335:14 - 338:18	岩田聪看了都觉得主播流鼻涕	(了,哈哈哈,哈哈哈哈)
 344:59 - 349:05	前4都是马灯都看不见了	(?,了,的)
 357:29 - 359:29	奇迹这不就来了嘛	(奇迹,了,?)
 366:39 - 366:57	大大的运	(大大的,喽,运)




 372:48 - 372:53	中了	(中,了)
 373:06 - 374:28	极限[看]	(极限,撞,了)
 374:42 - 375:02	这大直道怎么超啊	(永远的痛,大桥,这大直)
 376:51 - 377:43	预言家刀了	(瀑布,庐山,望)
 377:49 - 378:11	大戾士	(大戾,士,哈哈哈)
 386:53 - 387:46	不会是输了一晚上给个保底吧	(了,交晚,蓝寻三寻)
 388:05 - 389:17	前后都是胖哥	(LOSE,没戏,胖哥)
 390:12 - 390:53	还是pvp大佬	(油灯,55555,白名)
 392:52 - 393:02		()
 395:32 - 396:35	你的8000已经被胖哥偷走了	(偷走,8000,胖哥)
 396:56 - 397:10	那就是要来	(就是,要,来)
 397:39 - 398:08	说是永远超不了	(永远,下线,逆转)
 398:23 - 398:26		()
 399:02 - 401:16	加纳吧	(加纳,，,卡)
 404:45 - 405:08	最孙幻想:我开无敌的时候有人打雷	(说话,的,蒙)
 405:29 - 407:30	玩了这么久还不知道能走	(9700,，,还)
 409:19 - 411:29	被8000分的胖哥寻了	(了,LOSE,是)
 417:28 - 418:13	雷没了，龟没了，还有个鲁迅，这把不当人	(把,，,没)
 420:35 - 423:33	555你再不灯马上排不到主播了	(！,了,555)
 432:29 - 434:37	666有暗广	(加纳,了,！)

