全场最高能：126:13	哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈

其他高能：
 3:10 - 4:29	竟然是开车的赢了	(开车,💗,@)
 266:42 - 267:09	太好了开臭槟了[dog]	(开臭槟,],[)
 269:39 - 270:17	现在不吃你白天不睡觉吗[傲娇]	(],[,不)
 270:28 - 270:37	早[比心][比心][比心]	(比心,],[)
 271:57 - 272:28	可以开香槟了吗	(香槟,孙,在)
 273:35 - 275:38	接下来是世上最无悬念的让二追五	(💗,让,])
 275:57 - 276:21		()
 276:47 - 277:22	这个鱼虎拿了丢榴弹炮	(榴弹炮,丢,鱼虎)
 277:28 - 277:34		()
 279:20 - 279:23		()
 279:47 - 280:03	还打马造吗	(M,打马造,全是)
 281:33 - 281:56	lose	(灰色,酣畅淋漓,lose)
 282:12 - 284:08	这游戏也能有0旋击0射吗	(0,射,，)
 288:32 - 290:28	不一样的点在于那玩意要占用一个人的武器槽	(🍾,几,大白)
 291:05 - 291:25		()
 292:55 - 293:53	请投掷	(家境,渐入,夺旗)
 298:50 - 299:21	这游戏什么时候上pc	(pc,帅,时候)
 306:31 - 306:34		()
 312:38 - 313:16	好好好[花]	(能输,五,分钟)
 314:10 - 315:50	你赢赢赢，最后就输输输[哇]	(赢,哇,])
 317:19 - 318:14	我打联盟三旋击连着空了五次[大哭][大哭][大哭]	(大哭,],[)




 321:13 - 322:37	一定要赢啊[委屈][阴险]	(],[,花)
 324:32 - 326:03	嘿嘿嘿我朱紫钱终于有61万了[dog]	(了,],[)
 332:13 - 332:18		()
 334:21 - 335:03	胖哥来早登顶了	(ChatGPT,晚安,老公)
 337:59 - 339:01	谢谢关注💗	(100w,嘿嘿嘿,钱)
 341:20 - 342:43	我感觉紫是唯一一个第二个版本比第一个卖得更好的双版本	(版本,对,])
 344:26 - 344:45		()
 345:08 - 346:07	家里看起来整整齐齐的，多舒服呀[哇][哇][哇]	(哇,么,])
 348:33 - 350:50	isun们还在等着你呢[哇]	(哈哈哈,],[)
 352:08 - 352:24		()
 356:14 - 357:03	主播玩原神吗	(广,米哈,接过)
 357:41 - 358:18	翻盘了[哇][哇]	(哇,翻盘,])
 361:13 - 362:30	终于开香槟了[dog]	(倒扣,意义,臭槟有)
 363:20 - 363:32		()
 367:15 - 367:24		()
 367:52 - 368:00		()
 369:52 - 373:45	主播在这辛辛苦苦直播一晚上，分b没有，还总被人认错，多伤心啊[委屈]	(，,认错,主播)
 374:48 - 376:03	那个是赛尔号嘛[哇]	(那个,],[)
 376:22 - 376:44		()
 380:32 - 381:34	加纳[亲亲][亲亲][亲亲]	(],[,亲亲)

