全场最高能：163:24	为啥叫走马灯呢

其他高能：
 5:33 - 6:23	你是怎麼2點下播，11點半起床又開播的	(是,兄弟,饼)
 590:47 - 591:24	暴暴龙Z	(闪光,爆牙,大爆)
 592:01 - 594:16	这样，你现在点一杯西瓜汁然后喝完没准就出了[看]	(不,了,出)
 594:41 - 597:38	主播能在睡觉的时候用筋膜枪绑着手柄按键刷闪吗	(球,的,？)
 599:19 - 599:36	梦境球	(球,大师,梦境)
 609:00 - 610:18	主播每天玩这个卡路里消耗也太多了吧	(也,又,一玩)
 611:21 - 612:09	进战斗画面也太长了	(了,太长,恶梦)
 615:56 - 618:25	卖金河田的快要开播了 主播还没下吗	(的,看,他)
 618:49 - 622:37	米粒龙闪了是啥特点	(的,米粒,了)
 630:28 - 630:36		()
 631:29 - 631:41		(啦,哈哈,哈哈哈)
 635:41 - 637:23	一会儿闪米粒龙就好玩了	(米粒,了,龙)
 639:31 - 639:37		()
 640:07 - 640:13	真的假的	(真的假,的)
 642:22 - 644:58	我也想吃寿司了[哇]	(了,，,])
 645:02 - 648:12	我记得最近开源了一个大模型，专门打游戏，还是特意为摇杆优化的	(了,，,那)
 655:44 - 656:47	哇，灯顶	(啊啊啊,！,哇)
 657:30 - 661:20	我总感觉大退影响几率，图内刷没准还给个“安慰奖”，大退会不会影响概率计算...	(失去,好比,鱼)
 662:40 - 667:35	两诈一孙[看]	(的,。,，)




 668:28 - 670:27	那不是你自己说的吗	(观众,自己,请勿)
 676:35 - 677:15	第二大了吧	(了,？,吧)
 677:22 - 677:32	得跑距离多刷两次会再出来	(出来,跑跑,平躺)
 690:42 - 693:04	为什么啊	(],[,为什么)
 696:05 - 696:09		()
 706:01 - 707:14	为啥做一个甜甜圈要回复一下	(爱心,],[)
 707:15 - 711:10	我午饭都吃完了，你还跟这播呢[捂脸][捂脸]	(甜甜,],[)
 711:20 - 711:46	说tm什么呢	(甜馨儿,简称,安馨儿)
 711:55 - 713:30	旅馆Z不就是一栋雅阁	(她,雅阁,，)
 714:19 - 715:15	你这一天时间咋播的啊，半夜三四点在播，这早上又在播	(特别,这,你)
 716:42 - 716:57	我上面不是没说话，只是在哔哩说话而已[看]	(说话,而已,哔哩)
 721:04 - 721:30	没啥用，就是稀有	(稀有,用,啥)
 725:17 - 725:28	主播这个游戏要多少米才能玩	(才能,米,多少)
 725:45 - 726:32	@豆丁海马 主播花了400[看]但你应该两百多能买到	(海马,豆丁,@)
 727:01 - 727:42	一买一个不吱声	(不,爱玩,吱声)
 730:34 - 731:46	雅阁了	(了,雅阁,还)
 731:55 - 732:03	十个根本完不成啊	(被,不成,思维)
 737:19 - 737:27		()
 748:19 - 749:52	这游戏流程有那么长	(长,那么,没)
 755:20 - 755:46		()
 758:47 - 760:00	问题是这鸟闪光和不闪  羽毛颜色没区别阿	(绒毛,独善其身,羽毛)
 762:24 - 762:40	四种鸟都是粉毛	(四种,毛,粉)
 765:41 - 771:09	你得把主播的导尿管拔了才是真的管用	(啊啊啊,？,拔)




 771:15 - 771:44	真的瘋了又得刷一天	(瘋,右边,一天)
 773:36 - 774:12	主播去找你的ns吧	(確實,角線,對)
 776:12 - 776:29		()
 776:40 - 776:48	吃美食了	(美食,加纳,吃)
 776:59 - 777:28	如何評價美食[哇]	(評價,如何,])
 783:26 - 783:31		()
 790:20 - 791:51	有一个和哥哥一样可以开关游戏刷的地方，左边梦梦那个屋顶，从消失到出现只要往前走两	(屋顶,，,轻松)
 791:55 - 793:30	刷微信步数吗	(松饼,赣,李在)
 796:26 - 797:04	刷闪光有啥用啊	(遇不到,用,啥)
 797:14 - 797:40	最近不开心吗孙宝，一直高强度直播	(老鼻子,高强度,费)
 799:35 - 799:41		()
 803:30 - 805:34	拎壳别刷了，这样刷不出来的	(刷,，,了)
 807:10 - 807:29		()
 807:31 - 807:47		(心心,恶恶,吃饭)
 808:03 - 808:29	孙还在	(幻兽,孙,会)
 808:41 - 809:57	不会，体型锁的	(函数,能,工具)
 810:01 - 814:15	刚开始刷的时候不就对角线了吗	(对角线,刷,了)
 815:28 - 818:18	这可太有创意了，唯一一个让我看着满意的剧情	(～,，,创意)
 818:48 - 819:14		()
 819:41 - 820:03	闪了会自动保存	(自动,保存,自重)
 822:50 - 823:24	一看就是卖手柄的[妙]	(一看,妙,手柄)
 823:33 - 824:41	五星洞真难刷  就差锁财灵了	(时间,了,就)
 828:18 - 828:32	孙不睡	(孙不睡,？)
 828:50 - 830:08	你也不想想你今天闪多少了	(闪,时间,你)
 833:05 - 835:21	就怎么确定确实刷新了而不是在白跑[看]	(了,就,确定)




 836:14 - 837:09	嗡蝠：你才是路边的野狗	(哇,你,])
 837:31 - 838:37	看了一下bili的作弊都是改存档	(刷,闪,在)
 838:39 - 841:01	我靠主播你怎么还在	(在,星,dog)
 841:17 - 841:43	宝可梦玩家特有的对闪光的执着	(执着,特有,玩家)
 842:02 - 842:04		()
 843:04 - 843:08		()
 843:15 - 843:20	怎么了，很神气吗	(神气,很,怎么)
 843:24 - 848:55	说不定是威吓的给闪光吓跑了	(的,了,])
 850:10 - 851:42	当着妹妹的面把哥哥害死是吧，不出了	(感动,了,亚斯)
 851:47 - 852:28	他看见哥哥和训练家都三百多斤[委屈]故意不出来 让你多溜溜减减肥	(都,哥哥,减)
 855:37 - 857:08	我教你 换身黄色的皮套妹衣服就出了	(你,衣服,啊啊啊)
 863:55 - 864:03	怎么不动了	(稀有,不动,剧情)
 869:59 - 870:59	这是录播，bot转发的直播弹幕	(尬,笑,])
 871:12 - 871:50	我看别人用这个跑法十分钟就刷到了	(运气,一秒,跑法)
 872:01 - 872:19	我昨晚才刷的，半小时出了结果丢错球了，又花了2-3小时才出	(，,纯纯,瘾)
 873:17 - 874:10	你现在顶多刷了两小时吧	(，,你,的)
 874:25 - 875:59	@海晏河清 你觉得我劝得动一个正在刷金色拉帝亚斯的人吗[看]	(亚斯,拉帝,胖哥)
 879:07 - 879:45	又搞玄学[看]	(玄学,口罩,竹内)
 880:36 - 880:53		()
 881:10 - 881:36	有没有金色的装饰品，换一个	(越,好,袜不挺)
 882:41 - 884:47	转发这条锦鲤，你就会出闪光拉帝亚斯，我试过了，是假的	(],[,了)
 891:08 - 891:56	这游戏画质感觉不如原神[捂脸]	(减肥,测试,这)




 906:11 - 906:23	主播这个毅力，都等不到她吗	(跟着,主播,熬夜)
 907:46 - 910:18	出了出了还在看呢	(出,了,？)
 911:00 - 911:37	拍登峰战照片	(啧啧,相残,骨科)
 912:44 - 913:20	时间加速流逝吧，让主播离开这个空间	(空间,流逝,离开)
 913:27 - 915:00	拉镜头啊	(镜头,拉,方向键)
 916:59 - 918:17	她卡住了 你可以动	(撇嘴,],[)
 920:33 - 920:52	马上饱腹能量耗尽了看你再来一遍	(面向,耗尽,人物)
 927:02 - 929:56	又在玩你那个丢神秘道具抓智慧生物的黄油了	(了,？,够)
 936:25 - 936:44	这里面满级多少级了啊，怎么还有194级这么高的	(194,多少级,满级)
 937:50 - 938:52	主播可能是直播界人缘关系最好的主播，每天直播都在不留余力的宣传别的主播	(暴暴龙,直播,哦)
 939:41 - 941:42	最初和你打天下的兄弟不是谢谢小哥哥的皇帝吗	(兄弟,的,打天下)
 962:16 - 962:23		()
 970:16 - 970:29		()
 970:34 - 971:47	卧槽，闪了，几点删的，有人说一下吗	(，,的,炸人)
 981:42 - 985:49	我去 我都到北京了 怎么还没下	(buff,了,熬)
 991:42 - 994:01	还是冰冻牙	(还是,牙,了)
 994:53 - 996:42	去北京的觀眾可以直接在主播家裡啊啊啊啊啊	(晚上,啊,饼)
 997:52 - 999:37	主播，今晚可以早点来吗，明天上班看不了太晚了	(还,主播,，)
 999:53 - 1001:42	直接炸	(0,孙,炸)
 1002:04 - 1003:06	在玩喷喷	(打,贏過,正面)
 1004:41 - 1007:46	孙子确实牛，我考前复习都没毅力通宵	(龙,3d,孙子)
 1009:18 - 1010:24	出了趟门回来主播竟然还没下	(竟然,晚上,了)




 1011:30 - 1012:49	這就是你想要的a嗎	(！,加纳,拜拜)
 1013:09 - 1014:17	所以主播吃上泡面了吗	(，,沙包,靶子)
 1014:46 - 1016:34	孙子要播24h吗	(登灯,加纳,888)

