全场最高能：40:14	走马灯了

其他高能：
 5:16 - 5:21	蒙的	(蒙,的)
 278:34 - 278:59	弹幕真下头	(你币,蓝壳,真下头)
 279:28 - 279:41	谁下头你就骂谁， 没事骂弹幕做什么	(？,骂,谁)
 280:01 - 280:25	差不多，差六秒除非三个蓝龟	(蓝龟,来,归零)
 280:45 - 282:38	灯顶[哇]	(了,],[)
 282:44 - 283:10	isun宁愿淘汰也要把手里的蓝龟捏死	(捏死,淘汰,蓝龟)
 283:18 - 284:36	isun车队力推主播登顶第一[哇]	(],[,isun)
 284:50 - 284:52	主播在马车里面也能点护航吗[哇]	(能点,刺刺,吗)
 292:46 - 294:29	哇 太厉害了，我要给你开总督	(了,],[)
 296:58 - 297:26	你明年再来24个坑都没你地方了	(桃李满天下,明年,地方)
 298:01 - 298:30	如果第一第二互相吸尾流是不是会越来越快	(28,西边,越来越快)
 301:19 - 302:27	我对你这么好为什么不给我颁奖[爱]	(555,哇,])
 304:13 - 306:01	主播说你太阳间了，想给你颁奖[哇]	(主播,你,颁奖)
 310:12 - 311:59	流鼻涕的赢了	(？,了,])
 316:39 - 317:01	好[比心]	(好,保险,校友)
 326:57 - 329:10	胖哥都10007了	(胖哥,10007,])
 336:42 - 337:04	没登顶怪牛是吧[dog]	(怪,牛,咋)
 339:45 - 342:46	走马灯般的无敌大逃	(了,赢,])
 344:08 - 344:15		()
 346:44 - 347:55	你被人畏缩的时候就不是这嘴脸了[妙]	(委屈,],[)
 358:01 - 358:41	对面无敌了	(对面,换,>)
 360:31 - 361:01	对面就不吃CT上次就遇过了	(CT,就,对面)




 365:34 - 367:32	悲哀[捂脸]	(悲哀,兽,被)
 368:28 - 369:23	如果最后一只怪的技能次数用完了就直接判负吗	(一只,刚才,的)
 373:01 - 374:06	有没有日照都没所谓自己就是超级日光	(大大的,日照,菊花)
 375:30 - 375:39		()
 375:50 - 377:11	超级日光是自身所有技能视为晴天这个效果甚至无视沙暴给岩系的加防	(日光,超级,是)
 378:48 - 379:36	可爱捏	(可爱,？,用)
 379:41 - 380:07	不是用不了吧	(学不来,龙系,龙)
 387:34 - 387:50	还有虫系打手来了	(蜂寻,打手,虫系)
 390:36 - 393:36	怎么宝可梦也是lose	(哇,了,])
 394:58 - 395:05	走马灯	(走马灯,？)
 395:44 - 395:52	一个扫墓	(扫墓,喊出来,摇)
 398:04 - 399:28	这个游戏和洛克王国的对战系统哪个更复杂一点	(洛克,围巾,扫墓)
 402:48 - 403:06	那咋了	(咋,那,了)
 410:21 - 410:31		(该,dog,])
 418:54 - 419:06	悲哀	(悲哀)
 420:33 - 421:28	怎么还有人给妙蛙花带围巾[dog]	(晶光花,人,的)
 428:08 - 429:08	松饼你看看主播都快2000了	(对面,死,都)
 429:24 - 430:32	不是，我的意思是只能看到这个乌鸦还有扫墓这些	(的,哈哈哈,正版)
 431:25 - 431:49	啊这	(高叟,默契,一起)
 432:04 - 432:16	吕子乔确实恶心的宝可梦	(镜面反射,同意,乔)
 432:33 - 433:23	要是结实就好了	(95,蝶舞,啊)
 435:41 - 437:17	我喜欢的女孩子和别人订婚了，我好难过[委屈]	(晨光,你,喜欢)
 438:15 - 439:56	0射发力了	(。,对,0)
 441:12 - 441:15	身经百战	(身经百战)




 441:48 - 442:51	这你就肤浅了，我单纯想和老公玩[哇]	(委屈,],[)
 459:06 - 459:42	笑死我了[花]	(1,],[)
 466:16 - 468:32	太牛啦松饼 都把孙子打退了	(亲亲,],[)
 469:32 - 470:51	我掉到1600是运气不好[花]	(亲亲,],[)

