全场最高能：342:19	玩过这种地狱图，才知道平地摸终点7的好

其他高能：
 0:00 - 1:19	早上好[比心]	(怎早,孙,比心)
 266:21 - 268:07	办了已经很累了，就不需要再去了	(大戾,士,，)
 293:17 - 295:07	我超 b站的直播比抖流畅多了 60桢感觉太爽了	(60,直播,传都)
 297:08 - 299:34	我就听主播说大会员白开了，传的还压成30帧	(30,了,算)
 300:18 - 300:45	多久了还没过	(没过,多久,还)
 301:47 - 303:00	我看看	(重开,碰到,每次)
 308:54 - 309:52	主播什么时候骂手柄	(抓狂,],[)
 312:29 - 314:20	打下边的冰块，出东西	(探探,逼,上面)
 315:32 - 316:31	拿可在右边云上站着	(云上,右边,站)
 322:30 - 323:17	两个小时了	(小时,两个,了)
 326:18 - 328:40	马灯节前，都会说没练习门直接走了，难得硬刚一次	(了,忘,，)
 329:22 - 330:41	主要这破图没练习门，太磨人了	(太磨,这破图,多远)




 336:05 - 343:29	玩过这种地狱图，才知道平地摸终点7的好	(666,，,亲亲)
 344:58 - 345:21		()
 347:43 - 350:00	有什么最近没讲过的吗[哇]	(故事,],[)
 352:31 - 353:04	跳着走	(着,跳,走)
 357:21 - 357:58	是啊，主播还没讲过卖电脑	(讲,卖,电脑)
 358:12 - 359:14	那金河田会寻主播吗	(金河田,寻主播,没法)
 365:23 - 368:36	我刚来就哞	(？,],[)
 369:08 - 369:21		()
 370:08 - 371:10	主播不理我不送了	(⚡,主播,送)
 371:35 - 374:32	开香槟了	(了,？,开)
 375:56 - 378:56	6圈2个蓝龟1个闪电，卖电脑的都能登顶	(！,bot,个)

