全场最高能：60:55	你认错主播了

其他高能：
 3:06 - 4:09	早[比心][比心][比心]	(啊啊啊,比心,])
 214:40 - 216:05	喜欢主播的话可以送灯牌和礼物支持一下哦，开会员舰长可进粉丝群喵[比心]	(了,LOSE,一下)
 219:43 - 220:00	爱牛还对抗不了大聪明	(对抗,聪明,畏惧)
 223:41 - 226:43	好雷	(好,了,这个)
 226:56 - 227:57	这车手上没加速被打就落后	(鱿,这,打磨)
 233:45 - 237:11	开了3个小时的车水平没见涨脾气涨的挺大[看]	(延迟,了,看)
 238:41 - 238:57	别搞，我最爱的环节要变成了za了	(了,我,别搞)
 239:30 - 239:45	我帮你发他们，我见海南人~谁劈你我让他今天雅阁	(我,你,我见)
 239:59 - 240:28	胖哥是个好东西[dog]link是个坏东西[比心]	(个,胖哥,坏东西)
 242:42 - 245:15	哇，登顶	(！,登顶,，)
 253:35 - 256:06	555的雷立大功了	(！,666,？)
 258:42 - 258:58	前20进不去[委屈]	(20,进不去,委屈)
 260:14 - 261:13	这盖欧卡也是个水友啊我看	(全对,噗嗤,水友)
 264:45 - 264:51	蒙的	(666,相信,智斗)
 265:15 - 265:18	牛大了	(牛大,了)
 265:56 - 266:41	背后老头发力了	(ZTMEX,憋住,头发)
 269:40 - 269:43		()
 274:10 - 277:41	该za了吗	(],[,玻璃)
 285:21 - 286:59	主播的大葱鸭全被拿去做纸杯鸭汤了	(坚毅,鸭汤,纸杯)




 287:27 - 287:51	洗衣机	(洗衣机,？)
 292:26 - 296:31	不是  那是需要家勒尔的喵喵啊	(喵,晚上,进化)
 299:19 - 299:48	不是一个地区的	(地区,一个,哇)
 299:53 - 300:57	家勒尔是拿着石块的	(的,是,着)
 307:31 - 308:37	你这不是月石吗  又不是铃铛喝	(你,孙宝,不是)
 311:21 - 311:23		()
 311:34 - 311:39	那我能捏着鼻子喝五碗[看]	(五碗,捏着鼻子,喝)
 324:48 - 327:15	我靠这什么吃法	(这,],[)
 328:11 - 329:33	主播主播我要看mega达克莱伊[哇]	(三剑客,莱伊,达克)
 330:12 - 330:18	升级	(升级)
 334:39 - 337:02	毒刃都没咯 还是去雅阁呆着吧	(毒刃,的,十字)
 337:14 - 338:59	主播的本名宝可梦有点弱爆了	(哈哈哈哈,宝可梦,了)
 339:46 - 343:42	看看垃圾射击 主线给的 120物攻毒系技能	(的,吃,射击)
 349:51 - 349:55		()
 353:58 - 356:09	有这功夫达克莱伊都闪了	(了,？,瞎)
 359:00 - 360:24	怎么不闪了[看]	(了,闪,~)
 361:27 - 362:21	有闪符 15只刷了这么多次还没闪	(15,闪,了)
 362:54 - 363:32		()
 365:33 - 366:53	这不是阿罗拉的	(阿罗,老大,猫)
 369:40 - 370:33	道具力特别才是进化道具 宝物是卖钱用的	(特别,宝物,道具)
 370:52 - 371:05	昨天让你留个特别多多	(留个,多多,昨天)
 371:37 - 372:01	这游戏啊他就该这么玩	(多点,树果,我刷)
 376:46 - 376:54		()
 377:46 - 378:13	孙子肯定刷不到闪	(持久,超级,肯定)
 380:44 - 380:56		()




 381:32 - 382:28	你这是几星的地图啊	(啊,你,球太少)
 385:16 - 385:34	主播的闪光呢	(火驼,撤,早点)
 386:07 - 386:31	笑死我了	(东西,了,乐)
 388:17 - 389:13	什么时候清理支线	(・,=,ω)
 402:34 - 405:11	JJ龙是找NPC25000刷的啊	(支线,JJ,龙)
 406:34 - 408:21	超梦被大卫戴砸死了[流泪]	(戴,大卫,加)
 409:25 - 410:19	看大卫戴去了[花]	(看,看吧,戴去)
 410:25 - 412:17	主播我也没机器，送我一个NS2我帮你堵人	(机器,会员,我)
 418:20 - 418:46	头顶球	(头顶,球)
 421:56 - 422:06		()
 424:33 - 426:27	大大方方往里进就完了 搞里就完事了	(衣服,给,往里)
 428:34 - 431:09	头目高达闪可太帅了	(？,头目,了)
 433:12 - 433:14		()
 433:24 - 433:28		()
 438:15 - 438:25	这游戏音效怎么全是灯灯	(音效,灯灯,全是)
 438:43 - 441:16	就刚刚爬的第一个	(一个,的,刚刚)
 441:42 - 441:56	盆满钵满 美美撤离	(撤离,传送,美美)
 442:07 - 442:41	一次15个 那不闪的跟孙子似的	(闪,似的,15)
 448:09 - 449:02	我sl了半个小时甜甜圈进来一看你也在sl	(啷,？,sl)
 453:00 - 453:06		()
 453:49 - 455:26	不知道5星坑里有没有进化形	(委屈,进化,形)
 455:37 - 455:53		()
 456:06 - 456:13		()
 456:28 - 456:30		(？,睡眠,需要)
 456:46 - 456:48		()
 457:38 - 458:26	乐[看]	(系列,传说,宣布)
 462:41 - 462:59		()




 463:11 - 463:56	胡帕饿了，和角色没关系	(胡帕饿,上头,每次)
 477:18 - 478:23	没有头目力加成异次元里的头目率是1%[妙]	(头目,1%,异次元)
 480:41 - 482:50	别直播了孙孙休息一下吧，分币没有多伤心呀	(休息,孙孙,一下)
 483:26 - 483:50		()
 484:00 - 486:12	孙孙怎么没戾气	(芳心,孙孙,金河田)
 490:40 - 492:14	放生吧，我多的闪光都放生好多了	(放生,垃圾,多)
 494:09 - 494:50		()
 499:18 - 499:49	还差21只	(齐,21,区别)
 500:46 - 500:55		()
 503:59 - 504:31	能打队友吗	(队友,打,能)
 506:27 - 506:47		()
 507:40 - 508:26	要死要死要死[妙]	(要死,妙,？)
 508:32 - 510:24	买了面包去找一个小孩哥 在某个房顶上 查查攻略	(支线,不是,查查)
 511:36 - 513:03	灯冷冷	(做,不像,作品)
 513:37 - 515:36	打完给套换色版卡娜莉衣服	(衣服,老头,任务)
 516:50 - 519:06	3、4、5星的甜甜圈都可以多做一个随便用的，这样省得来回跑	(随便,、,做)
 520:47 - 521:31	2号区的右边房顶有个小孩	(冒,碎片,早就)
 540:28 - 540:39		()
 540:46 - 541:07		(请问,呢,我)
 542:16 - 542:45		()
 544:24 - 545:13	怎么这么刮	(刮,这么,怎么)
 547:05 - 548:04	龙族叛徒肉的批爆	(远方,批爆,叛徒)
 550:17 - 553:00	我去，这么多支线你都不清吗	(欧斯闪,不清,拉帝)
 555:11 - 557:23	那个眼睛 难道是加勒尔哭哭面具	(星级,郭小氓,眼睛)




 557:59 - 559:35	孙孙真的，玩DLC时间比本体长太多了	(DLC,真的,太多)
 563:17 - 563:37		()
 567:41 - 569:26	这个形态的苦苦面具你抓了吗	(形态,抓,一个)
 571:32 - 573:28	2号区域右边楼顶的小男孩找了吗	(了,？,刷)
 574:01 - 574:06		()
 574:21 - 574:38		(挨打,升级,先)
 575:23 - 580:58	不是，剑盾就有	(看,],[)
 581:27 - 584:14	就你标的这个雪花的楼顶有个小男孩，那个老头的神兽任务	(了,，,就)
 584:58 - 585:41	灵异迷	(?,吓人,迷)
 591:08 - 591:27	难怪孙孙爱玩	(离谱,这闪率,爱玩)
 597:39 - 597:57	确实	(确实)
 598:21 - 600:05	1是50，2是65，但是距离法1靠谱	(闪,1,65)
 600:48 - 604:35	难怪孙子爱这个游戏，骂骂咧咧还在玩[哇]	(刷,孙子,的)
 605:59 - 607:03	孙孙为啥爱玩这要从一个坑刷出6个闪说起	(点到为止,三倍,孢子)
 608:31 - 608:42	果然是冰淇淋闪了	(冰宝,是,冰淇淋)
 610:49 - 612:06	冰布闪光根本看不出差距了，以前还能看出来颜色淡点	(，,闪光,个体)
 617:42 - 617:54	不会，甚至以前还会低一点	(还会,低,以前)
 619:02 - 620:04	小男孩不够，再找个胖子	(大笑,小男孩,胖子)
 620:20 - 620:45	万一下次就出了呢	(132,万一,下次)
 622:38 - 624:41	主播没换上5237头像，不是神职人员，所以找不到小男孩	(5237,在,刚刚)
 625:24 - 625:30	主播有没有编号5237的头像	(编号,有没有,头像)
 626:47 - 627:13		()
 627:45 - 628:50	啥也不是	(陪我玩,剑,奔雷)




 631:45 - 631:53	mega桀拉奥拉	(越,mega,伦琴)
 632:55 - 633:24	桀哥好寻	(寻,他,桀哥)
 633:38 - 633:39		()
 637:37 - 638:43	因为是桀哥	(桀哥,牛,因为)
 640:16 - 640:37	主播不用睡觉的吗	(睡觉,不用,吗)
 640:46 - 642:06	笑跟孙	(然后,笑,来)
 642:15 - 644:55	神特么暴暴龙	(暴,暴牙,吗)
 646:36 - 646:48	笑死我了	(死,笑,手机)
 648:52 - 650:26	这图有BUG啊，那个铁塔会吸	(这图,啊,头目)
 652:00 - 652:28	捉了一个	(球,难吃,先刷)
 655:59 - 657:16	刷不出来玩到晚上	(到,截止,讲道理)
 660:49 - 661:04		()
 661:43 - 662:43	哦狐狸也没	(狐狸,升級,雞)
 665:50 - 666:33	你可以和人交换啊	(喜欢,鸡,主播)
 673:39 - 673:48	加纳	(加纳,！)
 675:56 - 676:34	今天主播上厕所了吗[dog]	(上刷,主播,马桶)
 676:54 - 676:55		()
 677:47 - 677:52		()
 682:55 - 683:59	刚才抓的小火龙是头目吗[妙]	(好,火龙,呢)
 684:31 - 686:25	你3级头目呢	(头目,呢,3)
 689:30 - 691:23	HP为啥是满的，野生的也有努力值吗	(头目,hp,努力)
 694:20 - 696:35	那你要勇敢干啥	(勇敢,内敛,要)
 697:39 - 699:43	冷静才是	(内敛,双刀,冷静)
 702:08 - 702:22	固定五次了吧	(没用过,五次,地)
 702:54 - 703:48	在那打五下当靶子	(命中率,闪焰,靶子)
 705:34 - 706:09	对，逃不掉	(很强,必带,逃不掉)




 711:22 - 713:05	现在全是巨沼怪，戟脊龙，吃吼霸，赛富豪，多边	(司马,，,鹿)
 714:40 - 715:30	你之前赛季的奖励	(奖励,赛季,一地)
 720:30 - 721:00	提醒主播 要想活着就得睡觉	(！,活着,提醒)
 723:46 - 725:09	日光束施法这么慢吗	(施法,日,光束)
 725:37 - 725:44		()
 728:44 - 731:19	这是单机还是联机	(哇,单机,])
 739:10 - 740:11	Y喷为啥带地震	(地震,带,打才行)
 740:53 - 741:54	日光束一般不建议用，你用也得mega或者c+再用	(用,也,再用)
 744:07 - 744:11		()
 747:37 - 750:34	经典剧情	(了,经典,任天堂)
 752:45 - 754:42	都挂机不就是四个第四吗	(挂机,四个,都)
 757:16 - 759:16	这不跟你的头目闪增火龙合个影[dog]	(!,？,你)
 759:44 - 760:07	孙哥我着火了	(着火,孙哥,金河田)
 760:59 - 763:30	8000能并列，但主播上不去8000	(并列,8000,能)
 765:53 - 766:53	主播别播了我晚上还想看你直播呢	(有,那人,一丝)
 772:05 - 774:14	全是炮灰啊都让人K六个了	(炸,四倍,弱电)
 774:33 - 775:27	这版本感觉还是Y喷好使	(喷,好使,战斗力)
 776:23 - 776:31	耿鬼卧槽	(耿鬼,卧槽)
 776:54 - 777:40	耿鬼吃加攻击buff了	(耿鬼,啊,好帅)
 780:52 - 783:09	还得是卖电脑的金河田	(还,了,的)
 786:53 - 788:13	剑舞加了攻击	(剑舞,了,的)
 789:39 - 790:33	K头模式总想着秒人	(流星,光束,不了)
 791:36 - 793:04	去把御三家那个专属技能 爆炸烈焰拿了吧 老喷用着不错	(爆炸,烈焰,的)




 795:27 - 796:11	卧槽，主播又要死我手机里了	(吊起来,无法,孙老三)
 799:08 - 800:21	已播12.5h[dog]不愧是孙孙	(自爆,太慢,dlc)
 804:18 - 804:45	爽k	(蒙,！,？)
 805:13 - 807:41	去把爆炸烈焰的技能机拿了吧	(了,烈焰,爆炸)
 807:49 - 808:27	马造是工作，za是生活，四舍五入没直播	(直播,四舍五入,工作)

