全场最高能：215:39	走马灯车队加油，让主播进不了决赛

其他高能：
 1:33 - 2:37	结果你又睡了啊	(了,早,主播)
 861:10 - 861:44	主播还有录播man吗	(回放,man,录播)
 863:31 - 864:58	主播啥也不是 哪来的时长..	(长,啥,在)
 865:38 - 866:19		()
 866:29 - 866:47	就像刚才说的一样，他在熬饼[dog]	(],[,像)
 867:00 - 868:17	Bot的IP是全国各地	(Bot,ip,奶油)
 870:10 - 871:54	用这么多bot是防追踪吗	(防,爱,抓住)
 873:59 - 874:38	是的	(播完,太肝,不下)
 877:20 - 877:23	还在播今晚又来不了把	(今晚,不了,播)
 877:40 - 878:34	已经意识模糊了	(还,模糊,意识)
 888:06 - 888:37		()
 888:48 - 888:56		()
 891:15 - 892:44	孙孙中午饭吃了吗	(🚀,抢走,中午饭)
 892:54 - 893:23	还没睡呢	(睡,呢,没)
 894:22 - 894:32	松饼也还没睡啊	(睡,松饼,也)
 894:40 - 894:46		()
 894:55 - 899:53	现在是放录像[花]你没看主播都不讲故事了吗	(，,在,松饼)
 900:39 - 904:16	哦哦，孙老师已经吃饭睡觉去了是吧	(，,林克,已经)
 904:46 - 909:10	128 次也没出的概率是多少	(的,你,不是)
 909:22 - 909:25	百分之多少	(百分之,多少,？)
 911:37 - 911:47		()
 920:11 - 920:40		()
 930:11 - 930:56	要是搞不好 备不住晚上他还没下	(还,没下,备不住)
 930:58 - 931:01		(靠,几个,这是)
 931:43 - 932:32	在刷刷新吗	(刷刷,？,目标)
 933:14 - 933:38	老板大气[比心]	(大气,老板,比心)




 937:15 - 938:08	已经播了14个半小时了	(14,了,？)
 939:26 - 940:13	胖哥寄的	(寄,的,胖哥)
 940:24 - 942:20	你谁啊，为什么你还在	(你,还,在)
 945:38 - 945:44	进化，很神奇罢	(罢,神奇,进化)
 945:53 - 946:03	饼子饼子	(饼子,咋,那)
 947:17 - 948:34	你还管上别人住哪了	(加纳,了,还)
 949:04 - 950:16	胖哥是8000/1	(红包,認屬性,先確)
 951:41 - 954:31	说的走是指从宝可梦走了，转身开启牛车吗	(了,？,来)

