全场最高能：239:49	人脉灯顶

其他高能：
 1:44 - 2:02	美神就爱和你吃海底捞	(捞,海底,美神)
 239:20 - 241:46	人脉灯顶	(！,登顶,灯顶)
 242:48 - 243:22	这在10年以前的笔记本电脑上就有了	(黑名单,08g,jym)
 243:30 - 244:00	开了这个永远少10%	(电池,主播,08g)
 253:27 - 253:32		(篮球,轮椅,呢)
 267:11 - 267:13		()
 267:22 - 267:26		()
 269:59 - 270:43	为啥开走大部分都是这个世界版的马里奥啊	(版,分钟,世界)
 282:11 - 283:56	作者还是严谨	(严谨,条件,钥匙)
 285:20 - 288:21	刷火箭主播就爆料故事了	(？,了,?)
 289:52 - 292:35	那√都不玩他找错主播了应该去找手游的	(],[,哈哈哈)
 295:03 - 295:40	主播已经不姓植原了	(来得及,轻易,生娃)
 296:28 - 297:41	明显是主播一个月还不上2w 的花呗了	(能力,呗,じ)
 299:01 - 300:33	妙子也道歉了吗	(马赛,私密,妙不可言)
 301:22 - 302:34	你怎么知道他是韩国人的[花]	(手捧雷,韩国,-)
 306:01 - 308:48	这灯一定得走	(一定,，,])
 309:41 - 311:01	居然可以吗	(没灯,真,吗)
 317:01 - 317:27	我也要品鉴一下[傲娇]	(太快,品鉴,傲娇)
 317:46 - 318:11	把窜了的拍给主播吗	(窜,主播,我)
 325:54 - 328:40	你注销我就去你家门口啊啊啊啊啊啊啊	(啊啊啊,注销,你)




 330:09 - 331:18	白胖早会了，主播只能当第二个过这图的人	(8000,了,也)
 332:13 - 332:55	发现了	(发现,男人,智者)
 333:09 - 334:01	吃个羽毛道具，跳一下不就好了	(一下,垫,不)
 334:22 - 338:48	蒙的	(蒙,的,了)
 340:22 - 341:30	蒙出规律了[dog]	(了,飞,去)
 341:52 - 342:09	运气主播[dog]	(28,飞到,翻墙)
 342:31 - 343:27	飞到最高就没有上墙的趋势了吧	(飞,没有,是)
 344:43 - 344:49	刚好在墙上飞呢	(发生,当无事,歉)
 350:31 - 350:41	又给你蒙到了	(蒙到,71,真)
 352:43 - 353:25	怎么看都像蒙的	(应该,最速,11)
 371:31 - 372:27	刚刚有一个丢中间的丢右边去了	(一个,丢,加邦)
 374:06 - 374:27	右边那只大老鼠死了	(老鼠,右边,只)
 375:00 - 376:07	你把他踮脚的那个箱子拆了[滑稽]	(你,是,了)
 376:48 - 376:52		()
 378:14 - 378:46	手柄快出来背锅	(斗,基本功,背锅)
 381:37 - 382:04	对面送啥了[花]	(对面,深,插得)
 382:37 - 383:41	那边意思是你得马车灯顶两次才能下播	(送,马车,要)
 384:55 - 385:45	最喜欢马蹬	(喜欢,最,我)
 385:55 - 387:01	最喜欢司马鱼那是没看过主播千本樱	(喜欢,最,没)
 387:05 - 387:18		(那句话,吹笙,鼓瑟)
 388:45 - 389:08	许攸是忠哥么	(许攸是,忠哥,没事)
 390:01 - 391:56	所以鼓瑟吹笙吹的是大出殡吗	(不要,，,亲妈)
 394:41 - 394:46	哪方面不如	(自制,方面,哪)
 407:21 - 408:23	我信，他想还两份花呗	(花,爱多,人)




 415:17 - 415:45	他使用了挡路	(4w,挡路,狙击手)
 424:57 - 427:07	牛蛙牛蛙	(！,灯顶,牛蛙)
 434:30 - 437:53	牛牛也能第一就好了	(灯顶,！,登顶)
 445:30 - 446:24	孙子慌了才会消棍，不然继续贪	(消棍,不然,慌)
 448:35 - 450:23	马车再灯个顶	(掰掰,灯顶,登顶)

