全场最高能：262:36	你转弯的时候不要踩那道坎啊，你跃一下根本就没法转了[花]

其他高能：
 7:00 - 7:58	读图不如卖电脑的	(啊啊啊,走马灯,饼)
 246:51 - 246:54	为啥一定要跑第一	(一定,为啥,跑)
 247:02 - 247:09	龟呢	(？,龟,呢)
 252:59 - 253:28	孙子啥时候下7000	(落孙,打法,再用)




 261:46 - 263:40	你转弯的时候不要踩那道坎啊，你跃一下根本就没法转了[花]	(？,了,日墙)
 268:19 - 269:00	反正不是好东西	(两下,直喷,金)
 270:31 - 271:46	好打	(哈哈哈,哈哈哈哈,金币)
 278:04 - 280:09	这是孙孙为了躲避海南人 专门送了一把	(海南,znmbex,人)
 287:31 - 287:53	火箭救我[大哭]	(鱿,法,车用)
 288:50 - 292:01	技不如人了	(困难,了,技不如人)
 294:58 - 295:39	这飞机是dy那边的吗	(这,吗,少先队)
 313:57 - 314:13		()
 317:08 - 317:26	哈哈，对胃	(哈哈,胃,好图)
 319:42 - 319:56	这您也溜着边	(溜,边,您)
 320:16 - 321:34	大戾士	(哈哈哈,炮决,士)
 322:35 - 323:29	孬 飞	(笑,哭,？)
 324:02 - 325:05	皮鼓一翘就知道要拉什么史	(哭,笑,哈哈哈)
 326:28 - 327:56	[永雏塔菲·1883_拿下]	(sc,拿下,顺手)
 330:38 - 331:16	酷不酷	(酷,哈哈哈,smgbdx)
 333:52 - 335:38	爆了	(爆,？,的)
 336:33 - 339:36	现在就有AI主播了，牛肉	(ai,了,？)
 342:42 - 342:51	国服第一个，也是唯一一个能灯上8000分的人	(走马灯,能灯,唯一)
 345:02 - 346:42	一对joycon而已[dog]	(退款,大嘴巴,还有)
 353:59 - 356:03	季小麦来了早过了	(666,季,哇)
 356:11 - 356:15		()
 361:13 - 361:33		()
 361:36 - 361:46		(雅阁)
 364:18 - 365:11	开了20多分钟	(吗,本来,操)
 365:28 - 365:31		()




 368:05 - 368:11	晚上钵满盆满	(满盆满,晚上,钵)
 371:53 - 373:39	主播你可以复述一下那条弹幕吗，我没看到	(弹幕,孙子,LOSE)
 378:29 - 378:55	1小时20分钟了	(zhd,20,分钟)
 380:50 - 380:52		()
 380:58 - 382:02	是白胖	(白胖,日本,是)
 387:46 - 387:58		()
 388:50 - 389:01	主播时间到了	(到,时间,主播)

