全场最高能：281:52	开放世界做完就拉了坨大的

其他高能：
 3:33 - 3:42	长沙史塔克送的吗	(大哭,],[)
 401:59 - 402:53	这几天干嘛去了，我已经好几天不走灯了	(了,走,几天)
 403:08 - 403:43	为什么要at一个bot	(替饼,at,bot)
 404:31 - 405:46	主播我给你开提督，咱们能线下嘛	(主播,能,呢)
 412:41 - 413:53	电龙吗	(电龙,了,伏特)
 419:45 - 421:00	喷火龙为啥是飞行不是火，学学老前辈炉石双种族	(不是,打人,种族)
 421:11 - 421:19	喷火龙不是火飞马	(飞马,火,喷火龙)
 421:44 - 422:20	Z神启动太垃圾了	(神,Z,垃圾)
 422:26 - 423:37	我怎么都记得你在a分段被人打的跟孙子似的	(原始,玩,就)
 437:04 - 438:42	具甲武者不mega是水虫，mega是钢虫	(mega,具甲,是)
 440:02 - 442:00	尼玛吃了米粒龙还能换下去  换个神兽上来	(办法,+,还)
 445:23 - 446:41	Z神要是无限制变身那太厉害了	(了,慢热才,变身)
 448:14 - 449:56	pjb主播一直不播，我牌子都掉了	(牌子,鹿,我)
 450:15 - 452:03	对，D的林克	(段,林克,为虎作伥)
 454:09 - 454:30		()




 454:41 - 454:50	应该是全宝可梦最强的宝可梦了 没有之一	(之一,最强,全宝)
 455:03 - 455:56	阿尔宙斯还真没鹿号用	(宙斯,阿尔,没鹿)
 458:45 - 462:24	没回我睡前马力欧，到单位了一打开就这破游戏	(了,我,就)
 462:44 - 462:46		()
 463:25 - 463:38	雨天大将马嘎巨沼怪	(泪水,满含,双眼)
 463:43 - 464:01		(大嘴鸥,顺风,大将)
 470:57 - 474:17	主播不带神兽的   真带  带个X鹿上来打一顿收回去用米粒龙打	(打,了,主播)
 474:50 - 476:33	盖诺赛克特待什么卡带都不改自身属性，只改技能属性[dog]	(属性,卡带,司马)
 477:57 - 479:53	也就这环境不让全神兽  不然你看这些普通的宝可梦带不带吧就	(神兽,不带,黑名单)
 479:56 - 480:03		()
 480:20 - 480:40		(登场,率,高)
 482:27 - 485:39	带神兽就是为了赢啊 神兽男不也是为了赢上达克莱伊	(神兽,你,米粒)
 491:38 - 491:42		()
 495:49 - 497:16	吃了个绿色的buff回满了	(了,搜,，)
 497:20 - 497:47	怕有连带，小心为好，是吧	(有,吧,卡牌)
 498:10 - 499:20	这巨沼怪杀疯了   真该带个草系技能搞他	(搞,了,劲)
 500:37 - 501:07	三天几天没播了	(。,紫水晶,三天)
 501:38 - 502:18	登顶了吗	(登顶,吗,了)
 523:54 - 525:38	我感觉异次元就没出过闪	(技術,闪,不是)
 525:42 - 525:49		()
 526:49 - 527:04		()
 532:46 - 533:02		()
 533:19 - 534:50	主播早上好喵[花]	(喵,早上好,丝袜)
 535:02 - 535:36		()
 536:19 - 536:30		()




 536:48 - 538:28	这是哪一部，义父	(义父,朱子新,名头)
 543:52 - 545:51	这游戏这么耐玩	(…,游戏,这)
 549:04 - 549:41		()
 549:48 - 549:58		(屁,放不出,巧)
 550:52 - 551:31		()
 554:53 - 554:54		()
 555:05 - 557:03	波士可多拉的闪是绿色的	(多拉,波士,是)
 558:33 - 561:07	室友也在玩 一边看主播刷 一边看室友刷	(刷,一边,室友)
 561:27 - 561:50	还是朱紫好，比较费眼睛	(费,朱紫好,眼睛)
 562:35 - 563:05		()
 565:30 - 566:49	主播你去和胖哥交换一下宝可梦不就不用刷了	(？,妈妈,你)
 567:42 - 568:18		()
 569:17 - 573:20	他是在研究所抓的	(随机数,主播,，)
 575:36 - 578:46	不是来两把牛车走了吗，怎么还在播[笑哭]	(自己,折磨,球)
 579:10 - 583:04	铁哑铃才90多kg，这个体重用沉重球是降捕获率的	(你,主播,沉重)
 583:33 - 583:38		()
 584:36 - 586:09	不是百分之1   捕获率3是百分之0.4%	(看,],[)
 587:01 - 587:18	哦哦 懂了	(哦,懂,了)
 587:56 - 588:24	直接进道具切能快点嘛	(切能,快点,多久)
 589:34 - 591:13	[比心][赞][响指]	(],[,比心)
 595:10 - 595:24		()
 598:09 - 599:51	孙孙播这么久，会影响今晚打多人上8000吗	(打多人,就,。)
 600:07 - 600:20		(磨平,一整天,四)
 600:41 - 601:05	雅阁了	(没醒,卧薪尝胆,位置)
 602:02 - 603:14	梦幻比超梦色好吧	(！,梦幻,超梦色)
 605:34 - 605:43		()




 606:14 - 606:19	[看][爱心][赞][比心]	(],[,赞)
 606:26 - 607:55	[dog]💗[赞][响指][dog]💗[赞][响指]	(],[,💗)
 627:13 - 627:56	你今天全都要用完吗[看]	(要用,？,全都)
 634:10 - 635:04	你在别人屋顶上打架，别人不告你扰民吗	(别人,在,不告)
 635:18 - 636:01		(老家,下水道)
 638:05 - 638:44		()
 639:55 - 640:52	这是在干什么	(？,名字,干什么)
 644:05 - 648:16	闪光独剑鞘  剑毛就是红的	(红色,的,闪光)
 650:59 - 651:59	松饼松饼你是真人请扣1	(1,松饼,爱意)
 652:57 - 654:43	孙还在	(孙,在,还)
 655:53 - 656:08	蒙的	(加纳,蒙,的)
 656:33 - 659:06	刚刚他都写了，所有宝可梦都会听你命令，为什么野生的不会听	(的,闪光,主播)
 663:37 - 664:02	@缺八尾 不点[看]	(点,嘛,做饭)
 664:03 - 664:54	希望晚上沒有ZA只有快樂玩著奧德賽的主播	(玩著,快樂,希望)
 665:11 - 665:17		()
 665:27 - 666:45	我們贏了 但代價是什麼	(级,了,死得)
 669:54 - 671:56	主播保重身体啊，你看你都看不清了	(了,看,眼鏡)
 680:20 - 683:17	主播还完饼饼的花呗，饼饼就把主播放出来了	(饼,花,了)
 684:37 - 685:06	饼饼你是程序员吗	(饼,程序员,居然)
 685:15 - 688:57	这孙子何德何能，有这些这么好的粉丝在	(蛇,大岩,好)
 692:21 - 692:27		()
 692:42 - 693:36	什么东西，为啥他能发语音	(手机,语音,能发)
 695:28 - 698:24	每天一杯纸杯鸭汤，苗条又健康，主播的新商务[看]	(看,],[)




 700:42 - 701:49	冰雪龙性别比例公母7：1[妙]这不趁机刷个母的吗	(退款,这不有,横)
 707:00 - 708:37	呜呜孙孙知道我现在上pb班没法熬夜看直播，所以通宵播到现在	(你,为了,？)
 709:27 - 709:43		(11,才播,小时)
 711:15 - 712:48	我曾经还赚过钱，一个飞机抽中了2k[看]	(],[,看)
 712:58 - 714:57	主播你能给我送一个办卡吗，我抽皇帝	(办卡,抽,])
 718:20 - 720:47	经历了那么多恩人的洗礼，久病成良医了属于是	(捂脸,了,、)
 721:59 - 722:04		()
 722:12 - 725:18	主播现在财不外露，所以看似没活了	(了,主播,现在)
 730:07 - 730:13	金河田耐久测试	(周一,耐久,小杰)
 730:22 - 731:32	怎么在白天播，要开始卖电脑了吗	(播,怎么,在)
 734:16 - 736:47	下午好 还不睡吗 玩	(bug,呱唧,还)
 737:57 - 740:01	两声碰到过，我找了半天第二只	(卡,说话,主播)
 740:10 - 743:42	主播你好能帮我要一下一个小厨娘的微信吗	(米,吗,山寨)
 745:01 - 745:36	胖哥闪了	(超级,小,哇)
 752:05 - 752:13	孙都不是签约	(孙都,签约,不是)
 752:17 - 752:24		()
 758:19 - 758:35		()
 758:57 - 759:04	主播早就有了	(早就,有,主播)
 759:24 - 759:27		()
 774:39 - 776:00	你晚上播不播了	(噔,晚上,了)
 776:22 - 777:15	能刷到晚上9点无缝吗	(无缝,能刷,9)
 778:18 - 779:31	主播一句打2把牛车下了	(小时,了,打)
 784:06 - 785:23	我觉得你要按到明天下午	(按,到,中午)
 786:09 - 790:26	加纳了	(了,加纳,抓)




 790:59 - 791:12	测试测到下午了	(测,下午,测试)
 791:19 - 792:29	我朋友生日送我他最讨厌的za	(我,送,za)

