全场最高能：75:04	那咋了

其他高能：
 0:30 - 1:32	早啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊	(啊啊啊,唉,早)
 260:59 - 263:21	人家都不最后一个道具在劈你了[花]	(你,的,买)
 264:55 - 265:20	主播讲点得罪同事的故事吧	(播讲,得罪,故事)




 267:53 - 267:58		()
 273:13 - 274:49	搁这玩蘑菇大战呢[哇]	(技,不如,555)
 275:53 - 277:04	技不如人[哇]	(技不如人,怪,不了)
 277:22 - 277:46	昨天我也没在，我sound[大哭]	(我,hhhhh,大哭)
 280:27 - 281:13	好雷	(该,好雷,LOSE)
 287:31 - 290:13	这把被谁sound.	(闪电,ㄨ,ˋ)
 296:33 - 296:45	被拎壳的寻了[委屈]	(三体,拎,壳)
 299:21 - 302:08	流鼻涕的赢了[哇]	(666,的,了)
 309:45 - 310:02		()
 310:59 - 312:52	好 ×48	(好,LOSE,ˊ)
 313:29 - 313:41		()
 315:32 - 316:55	那别玩	(玩,，,永远)
 317:53 - 318:29	闪电劈一个道具差不多	(万分,胖上,帮白)
 322:30 - 324:31	胖哥的威压	(666,胖哥,ㄜ)
 324:44 - 325:37	厉不厉害你胖哥	(ˋ,ˇ,ㄊ)
 325:41 - 326:21	胖哥说要你敢不给	(最胖哥,敢,幻想)
 332:06 - 332:37	主播的武魂真身淘汰了	(ˊ,ˇ,武魂)
 333:11 - 334:29	胖哥淘汰了	(ˋ,ˇ,ㄇ)
 341:35 - 343:12	绿毛龟在前面呢 孙孙	(ˇ,ㄨ,一)
 346:06 - 347:31	低保睡覺😪	(ㄐ,ˇ,ˋ)
 356:03 - 356:20	LOSE	(LOSE)
 357:10 - 357:34	你说的太对了	(对,太,说)

