全场最高能：91:54	走马灯了

其他高能：
 1:32 - 1:48	都已经睡着才来[dog]	(睡着,才,已经)
 180:51 - 181:12	真的一定要进吗	(喝汤,不爱,说理)
 186:06 - 187:07	最技不如人的时候	(嘴脸,技不如人,没)
 204:34 - 205:37	你小时候有路由器吗	(小时候,你,岁)
 205:59 - 206:06		()
 215:06 - 217:32	想多其实两边的观众都是一样的人	(观众,的,了)




 225:58 - 226:32	看了一眼手机怎么又开始友好沟通了	(士,大戾,哇)
 227:02 - 230:18	讨厌主播的话可以走马灯和找同事搞黄一下哦，舰长可进粉丝群体验马造灯友会喵[比心]	(sc,红色,你)
 231:35 - 232:47	大戾士	(戾,士,大戾)
 233:08 - 233:10	不完大米从哪里赚	(大米,赚,从)
 233:12 - 233:32	你说的最好是戾气[哇]	(牛上,最好,赚)
 236:29 - 237:38	别在家门口修行了，多开开车去外面走走，看看世界	(委屈,开车,])
 241:58 - 242:05	我要个4h的	(4h,我要,个)
 242:20 - 242:23	晚安	(晚安)
 243:06 - 243:13	bili和抖都切割了 回鱼得了	(拉右,第三,回鱼)
 247:28 - 248:45	没有把宝贵的人生浪费在这个垃圾游戏里，好事	(作者,可香,睡得)
 251:06 - 251:22	我最后一张图是阴乐图，做的太麻烦了	(图是,玩成,硬生生)
 251:27 - 252:36	自己就开始走马灯了  还老赖弹幕	(英语老师,解密,teacher)
 258:52 - 259:11	拿热风枪吹 还能打[dog]	(热风枪,吹,拿)
 264:29 - 265:11	完了，进雅阁了	(辩论,雅阁,意味)
 266:11 - 266:28	还有音游	(开车,音游,细节)
 266:33 - 266:53	喜欢主播的话可以送礼物和舰长支持一下哦，舰长可进粉丝群体验十周年企划喵[比心]	(舰长,送礼物,的话)
 271:32 - 271:42		()
 271:45 - 273:21	标签竟然是单打不是多人对战，还是太有良心了	(哇,？,])
 274:50 - 277:11	雅阁最速	(末期,好图,雅阁)
 278:06 - 279:05	主播等到快天亮了才牛车，就是专门等着挨电是不是	(爱灯,牛车,？)
 287:26 - 290:00	第一把就登顶可以下播了	(哇,],[)




 292:37 - 293:06	就滑下去	(滑下去,菜,LOSE)
 293:36 - 298:01	这下盆满钵满了	(么,],[)
 302:54 - 304:45	我们找到了一个卡比	(了,卡比,一个)
 306:14 - 306:24	哇	(！,哇,热门)
 313:30 - 314:46	哇：蒙的	(！,了,666)
 318:01 - 319:23	谁帮我搜下·····/··---/···--/--···是什么意思	(·,/,--)
 323:41 - 325:49	心態好了運操作都不變形了[哇]	(了,哇,！)
 326:24 - 326:47	孙孙再赢下去就8700了[妙]	(尋影,💡,提)
 327:21 - 328:25	今天这么能灯，我最爱的低保这方面谁给我补啊	(·,/,--)
 334:08 - 335:44	你要回头拿三体寻他会是这个样子吗	(技,是,牛)
 340:45 - 341:56	今天有红色sc护体	(sc,今天,护体)
 342:02 - 343:35	等会就来寻你了	(你,],[)
 344:51 - 347:33	没迅哥 没惠普 没555 主播也就欺负bot了[傲娇]	(555,？,！)
 349:10 - 351:05	怎么我看别人玩在空中不会做这么多特技啊	(特技,不用,做)
 355:08 - 357:46	宝宝真厉害[哇]	(！,666,没有)
 358:23 - 358:27		()
 366:35 - 366:40		()
 366:51 - 367:00	尽力局	(尽力,看不到,局)
 370:49 - 370:55	我超这个两千块钱sc什么意思啊	(两千块,我超,钱)
 376:56 - 377:52	准[哇]	(！,准,LOSE)
 383:02 - 383:07	走马灯	(走马灯)
 388:15 - 390:40	闪电第八名刷的和第十名有什么关系	(！,闪电,666)
 393:06 - 394:08	但狗熊公平图也有技术啊，没必要这样玩吧	(哔哩,主播,狗熊)




 395:16 - 395:30	没路人狗熊才打压主播[傲娇]	(人,狗熊,有时候)
 395:40 - 396:04	怎麼知道的	(废,打游戏,熬夜)
 396:32 - 398:26	你今天光这两把就吃了两个好累了	(了,倒,你)
 399:41 - 401:30	抱抱孙孙，把把加纳[抱抱][抱抱][抱抱]	(抱抱,加纳,就)

