全场最高能：151:37	走马灯啥意思

其他高能：
 4:14 - 5:30	这都有喝不上的	(_,w,])
 136:45 - 137:35	没所谓啊,任地狱游戏卖你都收到钱了	(了,确实,都)
 138:10 - 139:34	别放弃啊，这游戏最忌讳的就是放弃	(放弃,忌讳,最)
 143:29 - 144:25	爱孙双排不应该是别人赛道里俩人吗[花]	(里,是,都)
 144:44 - 145:10	现在走马灯还会进雅阁吗	(走马灯,开始,了)
 146:28 - 157:46	走马灯啥意思	(，,是,])




 158:02 - 159:45	胖哥是主播吗	(是,胖哥,])
 162:36 - 163:08	还得是京爷[dog]这么有理解	(创作,家,超级)
 163:17 - 163:25	差评多的图会不会被下架	(m,做做,赤石)
 168:09 - 169:50	雅阁是牙哥，牙哥有自己的雅阁，会把你放进自己的雅阁里[哇]	(雅阁,，,圈子)
 188:40 - 189:13	让他死完命然后时间重置	(吧,加油,时间)
 189:22 - 190:25	唉 孙孙啊 咱学过那个文章吗 啥孔子的学生和傻子吵架 孔子说了啥来着	(出去,看看,不卡)
 191:34 - 191:45	b站没有	(没有,有,⭐)
 191:52 - 192:07	主播两边播，bot整合弹幕的，给你在抖也可以看啊b的弹幕	(弹幕,整合,的)
 200:34 - 201:26	乐[花]	(哈哈哈,了,;)
 206:10 - 207:11	你诋毁了这个游戏的神（胖哥） 所以整个游戏都在针对你	(大哭,],[)
 207:17 - 207:19	怎么会这样 我们要牛车[大哭]	(6918,看来,睡)
 219:04 - 219:24	残月手速王	(蒙,P,缺个)
 219:44 - 220:04	你看我就说吧 狗熊来了早过了	(顶,一次,人家)
 223:56 - 225:19	原来你是白胖[哇]	(你,白胖,主播)
 229:12 - 230:28	然后孬	(孬,？,假仁假义)
 234:05 - 234:30	嘿嘿，笑死	(一塌糊涂,线,if)
 236:54 - 238:00	雷神加速器赢了	(哈哈哈,;,凭)
 241:57 - 244:34	赢了	(谁,了,委屈)
 249:11 - 249:17	哇 好性感的豪力	(性感,豪力,懂)
 252:18 - 254:21	波加曼怎么叫的[dog]	(叫,怎么,哞)
 255:08 - 256:09	有一说一  你能记住全国1000多只宝可梦的名字都很牛逼了	(怎么,哈哈哈,宝可梦)




 256:51 - 258:07	我连ns都没有你问我	(我,。,小时)
 259:20 - 259:59	你放东西了吗他就烧	(东西,哈哈哈,就)
 284:21 - 285:01	派对锅是他给你的任务道具	(你,锅,派对)
 289:20 - 290:12	3d龙怎么叫的	(龙,3D,叫)
 290:16 - 290:24		()
 291:55 - 292:48	好经典的bgm	(。,？,山)
 293:05 - 293:25	野生的大嘴蝠出现了	(出现,嘴蝠,野生)
 294:09 - 294:19		()
 300:25 - 300:30	金球	(金球)
 300:54 - 301:12	那你还要再去做个汉堡排啊	(排,汉堡,做)
 303:13 - 304:26	我觉得应该是这里让你铺铁路然后坐矿车的吧	(汉堡,素,豆子)
 304:32 - 304:43	这个地形不应该是可以建个矿车吗	(地形,建个,矿车)
 305:39 - 305:45	金河田子	(子,金河田)
 309:34 - 310:01		()
 311:30 - 312:35	主播吧博物馆全拿了	(进贼,家里,化石)
 313:04 - 313:34	可怜的藏宝箱	(梦岛,拆点,宝箱)
 314:08 - 314:31	乱走走到的	(走走,乱,到)
 318:30 - 318:51	方块卸下来你可以放回去啊	(台子上,卸下来,化石)
 330:15 - 331:42	宝宝这游戏有藤藤蛇	(！,力,有藤藤蛇)
 335:36 - 336:37	那个大金珠子得开出来	(饼,不,碰运气)
 336:51 - 337:10	国内网站现在没攻略但是日本已经差不多齐了	(齐,攻略,网站)
 344:40 - 344:51		()
 351:37 - 352:05	下个镇又在另一边	(太酷,大型,另一边)
 352:18 - 352:24		()
 360:32 - 362:35	你问问洛托姆现在氛围	(问问,托姆,洛)




 364:12 - 365:26	@土里土气❤ 这是任天堂Switch2独占的新作pokopia	(缺点,旁边,铁锅)
 365:32 - 365:58	吃个沙拉讲究什么[花]	(聚,自然,讲究)
 366:06 - 367:31	你还能打它还是咋了	(咋,了,那)
 371:34 - 372:41	差气球	(气球,真是,。)
 377:22 - 377:42	笑死	(垂死挣扎,一刀,砍)
 378:29 - 379:48	好好的地让你搞黄了	(阴间,黄,马灯)
 381:00 - 382:43	怎么到主播手里都是烂的	(大哭,],[)
 383:37 - 383:42		()
 383:50 - 386:14	那不是你拿的吗	(人类,了,都)
 386:51 - 391:04	这下自动拾取的东西有用了[哇]	(的,了,])
 397:44 - 398:09	藏好了	(藏,好,咯)
 399:47 - 400:42	有2的机子才能开游戏 1代能白嫖吗	(1,2,能)
 401:03 - 401:17		()
 405:00 - 405:18	好玩不 评价下	(评价,好玩,下)
 405:29 - 405:38	在哪呢	(分享,能,远程)
 408:06 - 408:08	你寻宝机带了吗	(机带,寻宝,吗)
 412:34 - 414:06	这种彩虹条纹的石头是不是得用大力才能锤碎	(・,^,大力)
 415:43 - 417:42	他的意思是在那个方向你还得往前走	(往前走,方向,探)
 419:00 - 420:45	@填写名字 这不就正常生存沙盒吗[dog]	(往下,凿,dog)
 425:51 - 426:30	你都玩沙盒了[花]	(沙盒,了,糊锅)
 427:12 - 428:15	回去看看咖喱糊了没[dog]	(藏,珍贵,撤离)
 428:26 - 431:04	主播怎么不拿风车了	(拿,我,了)
 439:47 - 440:50	@奶油松饼bot 可以和凤凰玩 旮旯game吗	(い,と,な)




 451:43 - 451:54	企鹅是吧  送你小石块	(嘎嘎,石块,企鹅)
 452:04 - 452:55	剑盾的道馆战斗是好听的	(啦,剑盾,道馆)
 456:13 - 457:05	@填写名字 以后会买[dog]	(饼子,买,@)
 460:19 - 461:52	这代我粗略看了下图鉴没司马鱼	(司马,鱼,有)
 466:25 - 467:29	@举着咕咕鸡的CRT 早[dog]	(举着,鸡,咕咕)
 468:55 - 470:54	走马灯小镇[dog]	(怀念,小镇,DR)
 471:26 - 474:51	雅阁镇说是	(镇,，,生气)
 478:28 - 479:21	那意思是主播全图鉴不得打半年	(那,不得,认对)
 479:36 - 479:39		()
 479:58 - 480:12		()
 483:58 - 484:48	@原地等星星💫 这是任天堂Switch2独占的新作pokopia	(pokopia,💫,星星)
 485:58 - 486:27	到地府了	(地府,不好,到)
 488:24 - 488:51	@填写名字 乐[dog]	(垃圾,山,填写)
 490:11 - 491:14	这是要那个把花种子拿过来吗	(饼,是,游戏)
 497:00 - 497:12		()
 498:03 - 498:49	这镇子主播是要拉电线了	(堵上,镇子,电线)
 503:44 - 503:47		()
 506:46 - 507:49	这个是休闲游戏嘛	(休闲游戏,休闲,沙盒)
 513:26 - 515:43	爱您主播，您死了能请我去唱大出殡吗	(哈哈哈,您,召唤)
 515:56 - 516:01		()
 516:25 - 516:32		()
 516:41 - 517:48	呜呜呜，狡猾的任天堂	(买,gen10,NS)
 519:28 - 520:09		()
 520:21 - 520:25	方便快速拿到对应的东西	(方便,对应,快速)
 521:26 - 524:26	这是华蓝市吗	(],[,惊喜)




 527:53 - 532:04	居委会也没上班吧 这才几点	(],[,居委会)
 532:14 - 535:30	@填写名字 我家的钱和我又没啥关系[dog]	(的,钱,了)
 536:02 - 536:18		()
 536:23 - 536:44	这是宝可梦啥游戏	(糖宝手,长,宝可梦)
 538:54 - 539:59	蜘蛛网吧	(蜘蛛网,做,那)
 546:05 - 547:05	强烈的自尊心会让他以为硬盘20一个	(他,花点,索引)
 548:06 - 548:15		()
 548:56 - 549:11		()
 553:08 - 556:14	@凉音 这是任天堂Switch2独占的新作pokopia	(波加曼,的,找)
 556:27 - 556:54	不都是洗涤技能	(最爱,组,关爱)
 557:11 - 557:28	你不把银行卡号发出来，波加曼不进群啊	(不,进群,发出)
 558:57 - 562:41	我不知道你这跑哪去了[dog]	(了,洗,])
 570:46 - 572:14	@そんごくう、カカロット 这是任天堂Switch2独占的新作pokopia	(カ,调查,ト)
 572:47 - 572:53	加纳[爱]	(白白,加纳,爱)

