全场最高能：111:57	我认识一主播被一打鼓的孙子骗了20w，摸摸你

其他高能：
 2:41 - 2:57	孙怎早	(来,孙怎早,了)
 304:25 - 305:57	唉主播老是输看着难受，走了[委屈]	(库巴,睡觉,难受)
 306:33 - 306:38		()
 307:09 - 307:17		(？)




 307:56 - 308:13	主播喜欢在马造坐车，喜欢在马车钻洞，习惯就好了	(喜欢,在,习惯)
 314:02 - 315:34	panga看不清能灯顶，主播看不清怎么不能灯顶	(士,大戾,看不清)
 315:41 - 315:59		(气跑,把,松饼)
 318:22 - 318:58	淘汰了	(？,hao,nb)
 319:13 - 319:47	被爱牛寻了	(了,对局,看爽)
 322:24 - 325:19	还是以前好啊 这个点把把人机 划水局 随便进圈	(],[,了)
 328:22 - 329:25	12个活人主播第13	(哈哈哈,13,第)
 331:28 - 332:32	完了真8000了	(LOSE,了,完)
 332:50 - 332:53		()
 333:08 - 333:21		()
 341:25 - 343:20	我就说吧，要么老八要么灯顶	(！,666,了)
 347:40 - 347:46		()
 348:03 - 348:18	卧槽这个是孙子吗	(卧槽,孙子,这个)
 348:28 - 349:12	第一必蓝龟	(省略,必蓝龟,认对)
 349:46 - 351:46	最后一局说是	(LOSE,一局,笑)
 355:37 - 357:01	说都不会话了	(机,话,了)
 358:59 - 360:49	真惨 惨到我都不忍心黑了[委屈]	(嘬,],[)
 361:11 - 361:23	弱图	(弱图)
 366:04 - 367:20	这个版本怎么感觉竞争过于激烈了，名次也换太快了	(版本,太快,名次)
 369:20 - 370:45	不是我喜欢的第一，直接蓝龟	(LOSE,哈哈哈,难道说)
 379:57 - 382:28	最后祝孙孙身体健康	(了,〜,身体健康)

